"","Ensemble","0 à 14 ans","15 à 29 ans","30 à 44 ans","45 à 59 ans","60 à 74 ans","75 ans ou plus","code_insee","Ville","0-14 ans","15-29 ans","30-44 ans","45-59 ans","60-74 ans","75-+ ans"
"35",48568,8468,7609,8656,9849,8545,5441,"13056","martigues",17.44,15.67,17.82,20.28,17.59,11.2
"36",26405,5437,4298,4978,4872,4415,2406,"13063","miramas",20.59,16.28,18.85,18.45,16.72,9.11
"37",22161,3857,3220,4222,4383,3939,2540,"13071","les-pennes-mirabeau",17.4,14.53,19.05,19.78,17.77,11.46
"38",44731,7637,8039,8675,8838,6704,4839,"13103","salon-de-provence",17.07,17.97,19.39,19.76,14.99,10.82
"39",35532,7435,5815,7155,6764,5581,2781,"13117","vitrolles",20.92,16.37,20.14,19.04,15.71,7.83
"40",108200,13400,35521,18367,15896,14476,10539,"14118","caen",12.38,32.83,16.98,14.69,13.38,9.74
"41",22227,3702,6097,3943,3349,3356,1780,"14327","herouville-saint-clair",16.66,27.43,17.74,15.07,15.1,8.01
"42",25815,3114,5002,4002,5002,5144,3550,"15014","aurillac",12.06,19.38,15.5,19.38,19.93,13.75
"43",41086,5912,9829,7261,7329,6406,4349,"16015","angouleme",14.39,23.92,17.67,17.84,15.59,10.59
"44",23092,3000,3585,3356,4995,4861,3295,"17299","rochefort",12.99,15.52,14.53,21.63,21.05,14.27
"45",78535,10265,18432,12281,14002,14070,9486,"17300","la-rochelle",13.07,23.47,15.64,17.83,17.92,12.08
"46",25518,3186,3872,3794,5136,5550,3980,"17415","saintes",12.49,15.17,14.87,20.13,21.75,15.6
"47",63702,9801,12851,10541,11798,11186,7525,"18033","bourges",15.39,20.17,16.55,18.52,17.56,11.81
"48",25348,3957,3836,3794,4670,5294,3797,"18279","vierzon",15.61,15.13,14.97,18.42,20.89,14.98
"49",46599,6420,8595,7258,8383,8862,7081,"19031","brive-la-gaillarde",13.78,18.44,15.58,17.99,19.02,15.2
"50",20032,2743,3576,3322,4043,3758,2590,"21054","beaune",13.69,17.85,16.58,20.18,18.76,12.93
"51",159346,21013,47874,28294,25240,22215,14709,"21231","dijon",13.19,30.04,17.76,15.84,13.94,9.23
"52",20344,2949,4056,3142,3969,3915,2312,"22113","lannion",14.5,19.94,15.44,19.51,19.24,11.36
"53",44224,7028,9181,7389,8016,7204,5406,"22278","saint-brieuc",15.89,20.76,16.71,18.13,16.29,12.22
"54",26323,3496,3724,3640,4772,6158,4532,"24037","bergerac",13.28,14.15,13.83,18.13,23.39,17.22
"55",29516,3418,6883,4756,5510,5134,3815,"24322","perigueux",11.58,23.32,16.11,18.67,17.39,12.93
"56",119198,17483,34408,19838,19534,17352,10583,"25056","besancon",14.67,28.87,16.64,16.39,14.56,8.88
"57",25573,5225,4916,4538,4142,4044,2709,"25388","montbeliard",20.43,19.22,17.75,16.2,15.81,10.59
"58",40399,7347,6982,7123,7711,6752,4484,"26198","montelimar",18.19,17.28,17.63,19.09,16.71,11.1
"59",32911,5574,5593,5704,6122,5740,4178,"26281","romans-sur-isere",16.94,16.99,17.33,18.6,17.44,12.69
"60",64483,10883,13729,11852,11140,9820,7058,"26362","valence",16.88,21.29,18.38,17.28,15.23,10.95
"61",47289,8970,9998,8785,8741,6714,4081,"27229","evreux",18.97,21.14,18.58,18.48,14.2,8.63
"62",24543,4833,4247,4726,4411,3894,2432,"27681","vernon",19.69,17.3,19.26,17.97,15.87,9.91
"63",38447,6156,7535,6886,7088,6287,4496,"28085","chartres",16.01,19.6,17.91,18.44,16.35,11.69
"64",30879,7200,5751,5764,5199,4432,2534,"28134","dreux",23.32,18.62,18.67,16.84,14.35,8.21
"65",139619,19689,39931,25247,23306,19050,12395,"29019","brest",14.1,28.6,18.08,16.69,13.64,8.88
"66",20607,2498,2569,2914,4506,5029,3092,"29039","concarneau",12.12,12.47,14.14,21.87,24.4,15
"67",63642,9168,12497,10994,12785,11420,6778,"29232","quimper",14.41,19.64,17.27,20.09,17.94,10.65
"68",73822,13050,10201,15357,13817,12660,8738,"2A004","ajaccio",17.68,13.82,20.8,18.72,17.15,11.84
"69",48768,7904,7878,10153,9301,8129,5404,"2B033","bastia",16.21,16.15,20.82,19.07,16.67,11.08
"70",43892,6731,7851,6597,8584,8245,5883,"30007","ales",15.34,17.89,15.03,19.56,18.78,13.4
"71",148104,25372,31157,25034,25791,24823,15927,"30189","nimes",17.13,21.04,16.9,17.41,16.76,10.75
"72",26466,4564,5639,5828,4821,3457,2156,"31069","blagnac",17.24,21.31,22.02,18.22,13.06,8.15
"73",40159,7943,7283,8397,7768,5626,3142,"31149","colomiers",19.78,18.14,20.91,19.34,14.01,7.82
"74",20341,4208,3817,4392,3618,2675,1631,"31157","cugnaux",20.69,18.77,21.59,17.79,13.15,8.02
"75",25060,4225,4318,4437,5400,4250,2430,"31395","muret",16.86,17.23,17.71,21.55,16.96,9.7
"76",504078,71935,162709,107338,75386,53790,32920,"31555","toulouse",14.27,32.28,21.29,14.96,10.67,6.53
"77",29439,5625,4828,5868,6035,4774,2309,"31557","tournefeuille",19.11,16.4,19.93,20.5,16.22,7.84
"78",23041,3151,4350,3366,4485,4404,3286,"32013","auch",13.68,18.88,14.61,19.47,19.11,14.26
"79",30813,5360,6411,7029,5550,3936,2526,"33039","begles",17.4,20.81,22.81,18.01,12.77,8.2
"80",261804,35651,78193,56084,42002,30387,19488,"33063","bordeaux",13.62,29.87,21.42,16.04,11.61,7.44
"81",24339,3998,3925,4616,4718,4083,3000,"33069","le-bouscat",16.43,16.13,18.97,19.38,16.78,12.33
"82",20215,3668,3831,4885,4024,2585,1222,"33075","bruges",18.14,18.95,24.17,19.91,12.79,6.05
"83",26778,4561,6244,5560,4489,3561,2362,"33119","cenon",17.03,23.32,20.76,16.76,13.3,8.82
"84",24374,4506,4527,5192,4636,3346,2167,"33162","eysines",18.49,18.57,21.3,19.02,13.73,8.89
"85",25835,3895,5773,4597,4529,4028,3012,"33192","gradignan",15.08,22.35,17.79,17.53,15.59,11.66
"86",22399,3065,2799,3425,5049,5262,2799,"33199","gujan-mestras",13.68,12.5,15.29,22.54,23.49,12.5
"87",24557,4176,4110,4333,4828,4108,3002,"33243","libourne",17.01,16.74,17.64,19.66,16.73,12.22
"88",23291,4623,4709,4934,4153,3012,1861,"33249","lormont",19.85,20.22,21.18,17.83,12.93,7.99
"89",75729,12023,15765,16215,14377,10771,6578,"33281","merignac",15.88,20.82,21.41,18.98,14.22,8.69
"90",66760,10863,17465,11812,11874,8885,5860,"33318","pessac",16.27,26.16,17.69,17.79,13.31,8.78
"91",32538,6018,4869,6237,7096,5375,2944,"33449","saint-medard-en-jalles",18.5,14.96,19.17,21.81,16.52,9.05
"92",45225,5883,16733,7631,6800,5061,3116,"33522","talence",13.01,37,16.87,15.04,11.19,6.89
"93",26556,3119,3850,3796,5427,6317,4047,"33529","la-teste-de-buch",11.74,14.5,14.29,20.44,23.79,15.24
"94",40500,6649,8956,8584,7514,5496,3300,"33550","villenave-d-ornon",16.42,22.11,21.2,18.55,13.57,8.15
"95",29103,3551,3609,3847,5548,8121,4427,"34003","agde",12.2,12.4,13.22,19.06,27.9,15.21
"96",80341,14701,14156,13446,14526,13915,9597,"34032","beziers",18.3,17.62,16.74,18.08,17.32,11.95
"97",24888,3661,5459,4992,4314,3899,2562,"34057","castelnau-le-lez",14.71,21.93,20.06,17.33,15.67,10.29
"98",23808,3911,3416,4155,5056,4432,2838,"34108","frontignan",16.43,14.35,17.45,21.24,18.62,11.92
"99",26185,4564,4153,4663,5331,4560,2912,"34145","lunel",17.43,15.86,17.81,20.36,17.41,11.12
"100",302454,46689,94361,59631,44247,35783,21743,"34172","montpellier",15.44,31.2,19.72,14.63,11.83,7.19
"101",44712,5928,6137,6261,8433,10909,7045,"34301","sete",13.26,13.73,14,18.86,24.4,15.76
"102",20653,2953,3895,3254,3838,3612,3100,"35115","fougeres",14.3,18.86,15.76,18.58,17.49,15.01
"103",225081,31777,76318,41680,32909,25101,17296,"35238","rennes",14.12,33.91,18.52,14.62,11.15,7.68
"104",47323,5588,6950,6505,8986,11457,7837,"35288","saint-malo",11.81,14.69,13.75,18.99,24.21,16.56
"105",42968,7049,7575,6845,8061,8181,5258,"36044","chateauroux",16.41,17.63,15.93,18.76,19.04,12.24
"106",38183,6670,7377,6520,6857,6550,4210,"37122","joue-les-tours",17.47,19.32,17.08,17.96,17.15,11.03
"107",137658,19258,40963,24601,20716,18343,13777,"37261","tours",13.99,29.76,17.87,15.05,13.33,10.01
"108",29577,5902,6129,5629,5257,3946,2713,"38053","bourgoin-jallieu",19.95,20.72,19.03,17.77,13.34,9.17
