Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
3 pièces,3 165,"24,9",3 314,"25,3",3 557,"25,4",12202,rodez
4 pièces,2 948,"23,2",3 060,"23,4",3 057,"21,9",12202,rodez
5 pièces ou plus,2 921,"23,0",2 757,"21,1",2 703,"19,3",12202,rodez
Ensemble,68 552,"100,0",69 923,"100,0",74 395,"100,0",13001,aix-en-provence
1 pièce,10 974,"16,0",11 241,"16,1",12 730,"17,1",13001,aix-en-provence
2 pièces,11 882,"17,3",12 269,"17,5",13 682,"18,4",13001,aix-en-provence
3 pièces,16 471,"24,0",17 115,"24,5",18 060,"24,3",13001,aix-en-provence
4 pièces,15 865,"23,1",15 841,"22,7",16 317,"21,9",13001,aix-en-provence
5 pièces ou plus,13 360,"19,5",13 458,"19,2",13 607,"18,3",13001,aix-en-provence
Ensemble,7 530,"100,0",8 593,"100,0",8 899,"100,0",13002,allauch
1 pièce,114,"1,5",131,"1,5",169,"1,9",13002,allauch
2 pièces,556,"7,4",841,"9,8",869,"9,8",13002,allauch
3 pièces,1 522,"20,2",1 892,"22,0",1 925,"21,6",13002,allauch
4 pièces,2 818,"37,4",2 857,"33,2",2 958,"33,2",13002,allauch
5 pièces ou plus,2 520,"33,5",2 871,"33,4",2 978,"33,5",13002,allauch
Ensemble,23 621,"100,0",24 431,"100,0",23 448,"100,0",13004,arles
1 pièce,1 115,"4,7",1 182,"4,8",1 075,"4,6",13004,arles
2 pièces,2 886,"12,2",2 940,"12,0",2 506,"10,7",13004,arles
3 pièces,6 290,"26,6",6 491,"26,6",6 279,"26,8",13004,arles
4 pièces,7 888,"33,4",7 864,"32,2",7 539,"32,2",13004,arles
5 pièces ou plus,5 443,"23,0",5 954,"24,4",6 049,"25,8",13004,arles
Ensemble,19 080,"100,0",18 923,"100,0",20 757,"100,0",13005,aubagne
1 pièce,806,"4,2",709,"3,7",719,"3,5",13005,aubagne
2 pièces,2 247,"11,8",2 279,"12,0",2 763,"13,3",13005,aubagne
3 pièces,6 165,"32,3",5 862,"31,0",6 612,"31,9",13005,aubagne
4 pièces,5 914,"31,0",6 062,"32,0",6 458,"31,1",13005,aubagne
5 pièces ou plus,3 947,"20,7",4 011,"21,2",4 207,"20,3",13005,aubagne
Ensemble,15 672,"100,0",16 984,"100,0",18 476,"100,0",13028,la-ciotat
1 pièce,868,"5,5",867,"5,1",1 044,"5,6",13028,la-ciotat
2 pièces,2 554,"16,3",2 859,"16,8",3 400,"18,4",13028,la-ciotat
3 pièces,4 889,"31,2",5 749,"33,8",6 225,"33,7",13028,la-ciotat
4 pièces,4 669,"29,8",4 589,"27,0",4 813,"26,1",13028,la-ciotat
5 pièces ou plus,2 692,"17,2",2 920,"17,2",2 994,"16,2",13028,la-ciotat
Ensemble,8 480,"100,0",8 478,"100,0",9 552,"100,0",13041,gardanne
1 pièce,403,"4,8",315,"3,7",437,"4,6",13041,gardanne
2 pièces,880,"10,4",1 107,"13,1",1 362,"14,3",13041,gardanne
3 pièces,2 031,"23,9",2 332,"27,5",2 798,"29,3",13041,gardanne
4 pièces,3 083,"36,4",2 865,"33,8",2 944,"30,8",13041,gardanne
5 pièces ou plus,2 083,"24,6",1 860,"21,9",2 011,"21,1",13041,gardanne
Ensemble,17 271,"100,0",17 901,"100,0",19 953,"100,0",13047,istres
1 pièce,342,"2,0",451,"2,5",427,"2,1",13047,istres
2 pièces,1 549,"9,0",1 913,"10,7",2 622,"13,1",13047,istres
3 pièces,4 035,"23,4",4 333,"24,2",5 289,"26,5",13047,istres
4 pièces,5 932,"34,3",6 338,"35,4",6 437,"32,3",13047,istres
5 pièces ou plus,5 413,"31,3",4 866,"27,2",5 178,"26,0",13047,istres
Ensemble,14 157,"100,0",13 761,"100,0",14 389,"100,0",13054,marignane
1 pièce,578,"4,1",452,"3,3",450,"3,1",13054,marignane
2 pièces,1 380,"9,8",1 300,"9,4",1 678,"11,7",13054,marignane
3 pièces,3 755,"26,5",3 842,"27,9",4 118,"28,6",13054,marignane
4 pièces,5 146,"36,3",5 078,"36,9",4 817,"33,5",13054,marignane
5 pièces ou plus,3 297,"23,3",3 089,"22,4",3 325,"23,1",13054,marignane
Ensemble,379 139,"100,0",389 813,"100,0",410 237,"100,0",13055,marseille
1 pièce,31 885,"8,4",33 356,"8,6",36 920,"9,0",13055,marseille
2 pièces,71 288,"18,8",75 363,"19,3",85 808,"20,9",13055,marseille
3 pièces,129 141,"34,1",136 981,"35,1",145 824,"35,5",13055,marseille
4 pièces,98 165,"25,9",96 824,"24,8",95 010,"23,2",13055,marseille
5 pièces ou plus,48 661,"12,8",47 289,"12,1",46 674,"11,4",13055,marseille
Ensemble,20 541,"100,0",22 108,"100,0",22 490,"100,0",13056,martigues
1 pièce,879,"4,3",1 238,"5,6",1 181,"5,3",13056,martigues
2 pièces,2 381,"11,6",2 800,"12,7",3 378,"15,0",13056,martigues
3 pièces,5 012,"24,4",5 992,"27,1",5 910,"26,3",13056,martigues
4 pièces,7 220,"35,2",7 377,"33,4",7 161,"31,8",13056,martigues
5 pièces ou plus,5 049,"24,6",4 700,"21,3",4 860,"21,6",13056,martigues
Ensemble,9 914,"100,0",10 533,"100,0",11 162,"100,0",13063,miramas
1 pièce,240,"2,4",205,"1,9",201,"1,8",13063,miramas
2 pièces,833,"8,4",1 328,"12,6",1 400,"12,5",13063,miramas
3 pièces,2 667,"26,9",3 005,"28,5",3 331,"29,8",13063,miramas
4 pièces,3 451,"34,8",3 666,"34,8",3 743,"33,5",13063,miramas
5 pièces ou plus,2 723,"27,5",2 329,"22,1",2 486,"22,3",13063,miramas
Ensemble,7 711,"100,0",8 742,"100,0",9 200,"100,0",13071,les-pennes-mirabeau
1 pièce,64,"0,8",97,"1,1",125,"1,4",13071,les-pennes-mirabeau
2 pièces,462,"6,0",666,"7,6",779,"8,5",13071,les-pennes-mirabeau
3 pièces,1 538,"19,9",1 962,"22,4",1 969,"21,4",13071,les-pennes-mirabeau
4 pièces,3 206,"41,6",3 683,"42,1",3 625,"39,4",13071,les-pennes-mirabeau
