Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
2 pièces,15 724,"26,0",15 551,"25,4",17 529,"26,7",76540,rouen
3 pièces,15 529,"25,7",15 556,"25,4",17 250,"26,2",76540,rouen
4 pièces,10 700,"17,7",10 680,"17,4",10 670,"16,2",76540,rouen
5 pièces ou plus,8 744,"14,5",8 723,"14,2",8 821,"13,4",76540,rouen
Ensemble,11 107,"100,0",11 882,"100,0",12 066,"100,0",76575,saint-etienne-du-rouvray
1 pièce,463,"4,2",764,"6,4",804,"6,7",76575,saint-etienne-du-rouvray
2 pièces,858,"7,7",1 004,"8,4",1 077,"8,9",76575,saint-etienne-du-rouvray
3 pièces,2 576,"23,2",2 705,"22,8",2 928,"24,3",76575,saint-etienne-du-rouvray
4 pièces,3 593,"32,3",3 836,"32,3",3 931,"32,6",76575,saint-etienne-du-rouvray
5 pièces ou plus,3 617,"32,6",3 574,"30,1",3 326,"27,6",76575,saint-etienne-du-rouvray
Ensemble,13 380,"100,0",13 308,"100,0",13 772,"100,0",76681,sotteville-les-rouen
1 pièce,540,"4,0",369,"2,8",426,"3,1",76681,sotteville-les-rouen
2 pièces,1 380,"10,3",1 384,"10,4",1 560,"11,3",76681,sotteville-les-rouen
3 pièces,4 131,"30,9",4 206,"31,6",4 309,"31,3",76681,sotteville-les-rouen
4 pièces,4 073,"30,4",3 778,"28,4",3 752,"27,2",76681,sotteville-les-rouen
5 pièces ou plus,3 255,"24,3",3 571,"26,8",3 725,"27,0",76681,sotteville-les-rouen
Ensemble,8 571,"100,0",10 257,"100,0",11 026,"100,0",77058,bussy-saint-georges
1 pièce,695,"8,1",927,"9,0",1 187,"10,8",77058,bussy-saint-georges
2 pièces,1 699,"19,8",2 222,"21,7",2 514,"22,8",77058,bussy-saint-georges
3 pièces,2 009,"23,4",2 594,"25,3",2 823,"25,6",77058,bussy-saint-georges
4 pièces,1 382,"16,1",1 702,"16,6",1 792,"16,3",77058,bussy-saint-georges
5 pièces ou plus,2 785,"32,5",2 813,"27,4",2 709,"24,6",77058,bussy-saint-georges
Ensemble,9 553,"100,0",10 024,"100,0",10 574,"100,0",77083,champs-sur-marne
1 pièce,865,"9,1",1 108,"11,0",1 369,"12,9",77083,champs-sur-marne
2 pièces,993,"10,4",1 246,"12,4",1 181,"11,2",77083,champs-sur-marne
3 pièces,2 654,"27,8",2 603,"26,0",2 882,"27,3",77083,champs-sur-marne
4 pièces,2 828,"29,6",2 671,"26,6",2 920,"27,6",77083,champs-sur-marne
5 pièces ou plus,2 213,"23,2",2 396,"23,9",2 222,"21,0",77083,champs-sur-marne
Ensemble,20 769,"100,0",21 062,"100,0",22 512,"100,0",77108,chelles
1 pièce,1 177,"5,7",1 454,"6,9",1 782,"7,9",77108,chelles
2 pièces,2 629,"12,7",2 940,"14,0",3 342,"14,8",77108,chelles
3 pièces,5 622,"27,1",5 505,"26,1",6 113,"27,2",77108,chelles
4 pièces,5 753,"27,7",5 508,"26,2",5 313,"23,6",77108,chelles
5 pièces ou plus,5 587,"26,9",5 654,"26,8",5 963,"26,5",77108,chelles
Ensemble,8 183,"100,0",8 522,"100,0",9 157,"100,0",77122,combs-la-ville
1 pièce,456,"5,6",437,"5,1",492,"5,4",77122,combs-la-ville
2 pièces,827,"10,1",1 017,"11,9",1 183,"12,9",77122,combs-la-ville
3 pièces,1 728,"21,1",1 805,"21,2",1 959,"21,4",77122,combs-la-ville
4 pièces,2 191,"26,8",2 187,"25,7",2 388,"26,1",77122,combs-la-ville
5 pièces ou plus,2 981,"36,4",3 076,"36,1",3 136,"34,2",77122,combs-la-ville
Ensemble,8 069,"100,0",8 892,"100,0",9 396,"100,0",77152,dammarie-les-lys
1 pièce,808,"10,0",698,"7,8",639,"6,8",77152,dammarie-les-lys
2 pièces,1 164,"14,4",1 376,"15,5",1 543,"16,4",77152,dammarie-les-lys
3 pièces,1 859,"23,0",2 329,"26,2",2 772,"29,5",77152,dammarie-les-lys
4 pièces,2 149,"26,6",2 303,"25,9",2 365,"25,2",77152,dammarie-les-lys
5 pièces ou plus,2 089,"25,9",2 185,"24,6",2 078,"22,1",77152,dammarie-les-lys
Ensemble,8 717,"100,0",9 181,"100,0",9 761,"100,0",77243,lagny-sur-marne
1 pièce,731,"8,4",814,"8,9",886,"9,1",77243,lagny-sur-marne
2 pièces,1 420,"16,3",1 395,"15,2",1 706,"17,5",77243,lagny-sur-marne
3 pièces,2 399,"27,5",2 449,"26,7",2 554,"26,2",77243,lagny-sur-marne
4 pièces,2 033,"23,3",2 034,"22,2",2 092,"21,4",77243,lagny-sur-marne
5 pièces ou plus,2 134,"24,5",2 489,"27,1",2 524,"25,9",77243,lagny-sur-marne
Ensemble,20 108,"100,0",21 541,"100,0",23 698,"100,0",77284,meaux
1 pièce,1 349,"6,7",1 668,"7,7",2 369,"10,0",77284,meaux
2 pièces,3 458,"17,2",4 063,"18,9",4 871,"20,6",77284,meaux
3 pièces,6 514,"32,4",6 317,"29,3",7 165,"30,2",77284,meaux
4 pièces,5 328,"26,5",5 603,"26,0",5 376,"22,7",77284,meaux
5 pièces ou plus,3 460,"17,2",3 890,"18,1",3 916,"16,5",77284,meaux
Ensemble,7 771,"100,0",7 745,"100,0",7 881,"100,0",77285,le-mee-sur-seine
1 pièce,343,"4,4",421,"5,4",376,"4,8",77285,le-mee-sur-seine
2 pièces,861,"11,1",757,"9,8",789,"10,0",77285,le-mee-sur-seine
3 pièces,2 151,"27,7",2 495,"32,2",2 060,"26,1",77285,le-mee-sur-seine
4 pièces,2 468,"31,8",2 150,"27,8",2 537,"32,2",77285,le-mee-sur-seine
5 pièces ou plus,1 948,"25,1",1 923,"24,8",2 119,"26,9",77285,le-mee-sur-seine
Ensemble,17 489,"100,0",17 315,"100,0",18 070,"100,0",77288,melun
1 pièce,2 245,"12,8",2 002,"11,6",1 972,"10,9",77288,melun
2 pièces,4 011,"22,9",3 669,"21,2",4 136,"22,9",77288,melun
3 pièces,5 119,"29,3",5 392,"31,1",5 733,"31,7",77288,melun
4 pièces,3 840,"22,0",3 943,"22,8",3 926,"21,7",77288,melun
5 pièces ou plus,2 273,"13,0",2 308,"13,3",2 303,"12,7",77288,melun
Ensemble,6 761,"100,0",7 210,"100,0",7 516,"100,0",77294,mitry-mory
1 pièce,329,"4,9",226,"3,1",330,"4,4",77294,mitry-mory
2 pièces,722,"10,7",844,"11,7",859,"11,4",77294,mitry-mory
3 pièces,1 584,"23,4",1 772,"24,6",1 714,"22,8",77294,mitry-mory
4 pièces,2 082,"30,8",1 990,"27,6",1 993,"26,5",77294,mitry-mory
5 pièces ou plus,2 044,"30,2",2 378,"33,0",2 619,"34,9",77294,mitry-mory
Ensemble,6 691,"100,0",7 489,"100,0",8 200,"100,0",77305,montereau-fault-yonne
1 pièce,483,"7,2",501,"6,7",395,"4,8",77305,montereau-fault-yonne
2 pièces,1 335,"20,0",1 541,"20,6",1 708,"20,8",77305,montereau-fault-yonne
3 pièces,1 897,"28,3",1 954,"26,1",2 368,"28,9",77305,montereau-fault-yonne
4 pièces,1 841,"27,5",2 155,"28,8",2 257,"27,5",77305,montereau-fault-yonne
5 pièces ou plus,1 134,"17,0",1 338,"17,9",1 473,"18,0",77305,montereau-fault-yonne
Ensemble,7 499,"100,0",7 619,"100,0",8 328,"100,0",77350,ozoir-la-ferriere
1 pièce,271,"3,6",362,"4,7",548,"6,6",77350,ozoir-la-ferriere
2 pièces,703,"9,4",772,"10,1",1 011,"12,1",77350,ozoir-la-ferriere
3 pièces,1 103,"14,7",1 170,"15,4",1 538,"18,5",77350,ozoir-la-ferriere
4 pièces,1 705,"22,7",1 749,"23,0",1 653,"19,8",77350,ozoir-la-ferriere
5 pièces ou plus,3 718,"49,6",3 565,"46,8",3 578,"43,0",77350,ozoir-la-ferriere
Ensemble,13 088,"100,0",14 382,"100,0",14 968,"100,0",77373,pontault-combault
1 pièce,1 047,"8,0",922,"6,4",967,"6,5",77373,pontault-combault
2 pièces,1 785,"13,6",2 043,"14,2",2 380,"15,9",77373,pontault-combault
3 pièces,2 208,"16,9",3 027,"21,0",3 223,"21,5",77373,pontault-combault
4 pièces,3 471,"26,5",3 638,"25,3",3 555,"23,7",77373,pontault-combault
5 pièces ou plus,4 577,"35,0",4 753,"33,0",4 842,"32,4",77373,pontault-combault
Ensemble,7 746,"100,0",8 064,"100,0",8 368,"100,0",77390,roissy-en-brie
1 pièce,343,"4,4",356,"4,4",389,"4,7",77390,roissy-en-brie
2 pièces,847,"10,9",776,"9,6",939,"11,2",77390,roissy-en-brie
3 pièces,1 410,"18,2",1 731,"21,5",1 744,"20,8",77390,roissy-en-brie
4 pièces,2 290,"29,6",2 202,"27,3",2 049,"24,5",77390,roissy-en-brie
5 pièces ou plus,2 857,"36,9",3 000,"37,2",3 247,"38,8",77390,roissy-en-brie
Ensemble,9 276,"100,0",10 142,"100,0",10 500,"100,0",77445,savigny-le-temple
1 pièce,291,"3,1",481,"4,7",438,"4,2",77445,savigny-le-temple
2 pièces,835,"9,0",1 112,"11,0",1 198,"11,4",77445,savigny-le-temple
3 pièces,1 974,"21,3",2 192,"21,6",2 453,"23,4",77445,savigny-le-temple
4 pièces,2 772,"29,9",2 751,"27,1",2 843,"27,1",77445,savigny-le-temple
5 pièces ou plus,3 404,"36,7",3 606,"35,6",3 568,"34,0",77445,savigny-le-temple
Ensemble,8 352,"100,0",8 904,"100,0",9 089,"100,0",77468,torcy
1 pièce,574,"6,9",971,"10,9",1 051,"11,6",77468,torcy
2 pièces,1 254,"15,0",1 296,"14,6",1 531,"16,8",77468,torcy
3 pièces,2 638,"31,6",2 492,"28,0",2 578,"28,4",77468,torcy
4 pièces,2 164,"25,9",2 401,"27,0",2 051,"22,6",77468,torcy
5 pièces ou plus,1 722,"20,6",1 744,"19,6",1 880,"20,7",77468,torcy
Ensemble,9 453,"100,0",9 864,"100,0",10 466,"100,0",77514,villeparisis
1 pièce,752,"8,0",876,"8,9",1 111,"10,6",77514,villeparisis
2 pièces,1 504,"15,9",1 622,"16,4",1 851,"17,7",77514,villeparisis
3 pièces,2 390,"25,3",2 506,"25,4",2 454,"23,4",77514,villeparisis
4 pièces,2 323,"24,6",2 460,"24,9",2 490,"23,8",77514,villeparisis
5 pièces ou plus,2 483,"26,3",2 400,"24,3",2 560,"24,5",77514,villeparisis
Ensemble,7 664,"100,0",8 395,"100,0",9 058,"100,0",78005,acheres
1 pièce,353,"4,6",386,"4,6",524,"5,8",78005,acheres
2 pièces,822,"10,7",1 120,"13,3",1 647,"18,2",78005,acheres
3 pièces,2 483,"32,4",2 662,"31,7",2 777,"30,7",78005,acheres
4 pièces,2 315,"30,2",2 386,"28,4",2 246,"24,8",78005,acheres
5 pièces ou plus,1 692,"22,1",1 841,"21,9",1 864,"20,6",78005,acheres
Ensemble,8 586,"100,0",8 509,"100,0",8 490,"100,0",78126,la-celle-saint-cloud
1 pièce,389,"4,5",469,"5,5",492,"5,8",78126,la-celle-saint-cloud
2 pièces,784,"9,1",850,"10,0",792,"9,3",78126,la-celle-saint-cloud
3 pièces,2 173,"25,3",2 025,"23,8",2 058,"24,2",78126,la-celle-saint-cloud
4 pièces,2 495,"29,1",2 455,"28,9",2 464,"29,0",78126,la-celle-saint-cloud
5 pièces ou plus,2 746,"32,0",2 710,"31,9",2 684,"31,6",78126,la-celle-saint-cloud
Ensemble,12 701,"100,0",12 907,"100,0",12 881,"100,0",78146,chatou
1 pièce,993,"7,8",892,"6,9",807,"6,3",78146,chatou
2 pièces,2 029,"16,0",2 220,"17,2",2 403,"18,7",78146,chatou
3 pièces,3 299,"26,0",3 103,"24,0",3 487,"27,1",78146,chatou
4 pièces,3 087,"24,3",2 991,"23,2",2 747,"21,3",78146,chatou
5 pièces ou plus,3 293,"25,9",3 701,"28,7",3 438,"26,7",78146,chatou
Ensemble,14 741,"100,0",14 714,"100,0",14 684,"100,0",78158,le-chesnay-rocquencourt
1 pièce,1 954,"13,3",2 009,"13,7",2 077,"14,1",78158,le-chesnay-rocquencourt
2 pièces,2 343,"15,9",2 302,"15,6",2 277,"15,5",78158,le-chesnay-rocquencourt
3 pièces,3 784,"25,7",3 824,"26,0",3 741,"25,5",78158,le-chesnay-rocquencourt
4 pièces,3 144,"21,3",3 082,"20,9",2 950,"20,1",78158,le-chesnay-rocquencourt
5 pièces ou plus,3 516,"23,9",3 497,"23,8",3 640,"24,8",78158,le-chesnay-rocquencourt
Ensemble,13 596,"100,0",13 812,"100,0",14 534,"100,0",78172,conflans-sainte-honorine
1 pièce,662,"4,9",677,"4,9",736,"5,1",78172,conflans-sainte-honorine
2 pièces,1 584,"11,6",1 600,"11,6",1 812,"12,5",78172,conflans-sainte-honorine
3 pièces,3 566,"26,2",3 688,"26,7",3 852,"26,5",78172,conflans-sainte-honorine
4 pièces,3 551,"26,1",3 720,"26,9",3 738,"25,7",78172,conflans-sainte-honorine
5 pièces ou plus,4 234,"31,1",4 127,"29,9",4 396,"30,2",78172,conflans-sainte-honorine
Ensemble,10 506,"100,0",10 333,"100,0",11 047,"100,0",78208,elancourt
1 pièce,871,"8,3",719,"7,0",1 090,"9,9",78208,elancourt
2 pièces,1 438,"13,7",1 403,"13,6",1 287,"11,6",78208,elancourt
3 pièces,2 401,"22,9",2 659,"25,7",2 571,"23,3",78208,elancourt
4 pièces,2 582,"24,6",2 558,"24,8",2 883,"26,1",78208,elancourt
5 pièces ou plus,3 215,"30,6",2 994,"29,0",3 217,"29,1",78208,elancourt
Ensemble,10 670,"100,0",11 019,"100,0",12 008,"100,0",78297,guyancourt
1 pièce,728,"6,8",767,"7,0",1 159,"9,6",78297,guyancourt
2 pièces,1 691,"15,9",1 803,"16,4",1 934,"16,1",78297,guyancourt
3 pièces,2 703,"25,3",2 978,"27,0",3 043,"25,3",78297,guyancourt
4 pièces,2 967,"27,8",2 771,"25,1",3 017,"25,1",78297,guyancourt
5 pièces ou plus,2 581,"24,2",2 700,"24,5",2 855,"23,8",78297,guyancourt
Ensemble,13 050,"100,0",13 185,"100,0",14 173,"100,0",78311,houilles
1 pièce,878,"6,7",935,"7,1",1 079,"7,6",78311,houilles
2 pièces,1 982,"15,2",2 142,"16,2",2 318,"16,4",78311,houilles
3 pièces,3 494,"26,8",3 347,"25,4",3 508,"24,8",78311,houilles
4 pièces,3 299,"25,3",3 144,"23,8",3 288,"23,2",78311,houilles
5 pièces ou plus,3 396,"26,0",3 617,"27,4",3 979,"28,1",78311,houilles
Ensemble,9 808,"100,0",10 345,"100,0",10 445,"100,0",78358,maisons-laffitte
1 pièce,691,"7,0",972,"9,4",1 112,"10,6",78358,maisons-laffitte
2 pièces,1 616,"16,5",1 534,"14,8",1 620,"15,5",78358,maisons-laffitte
3 pièces,2 502,"25,5",2 812,"27,2",2 792,"26,7",78358,maisons-laffitte
4 pièces,2 176,"22,2",2 164,"20,9",1 967,"18,8",78358,maisons-laffitte
5 pièces ou plus,2 824,"28,8",2 863,"27,7",2 955,"28,3",78358,maisons-laffitte
Ensemble,15 560,"100,0",16 713,"100,0",17 196,"100,0",78361,mantes-la-jolie
1 pièce,1 142,"7,3",1 099,"6,6",1 425,"8,3",78361,mantes-la-jolie
2 pièces,3 387,"21,8",3 647,"21,8",3 907,"22,7",78361,mantes-la-jolie
3 pièces,4 279,"27,5",5 119,"30,6",4 923,"28,6",78361,mantes-la-jolie
4 pièces,4 311,"27,7",4 264,"25,5",4 510,"26,2",78361,mantes-la-jolie
5 pièces ou plus,2 440,"15,7",2 583,"15,5",2 431,"14,1",78361,mantes-la-jolie
Ensemble,7 549,"100,0",7 691,"100,0",8 529,"100,0",78362,mantes-la-ville
1 pièce,185,"2,4",168,"2,2",440,"5,2",78362,mantes-la-ville
2 pièces,1 015,"13,4",1 080,"14,0",1 088,"12,8",78362,mantes-la-ville
3 pièces,1 715,"22,7",1 955,"25,4",2 243,"26,3",78362,mantes-la-ville
4 pièces,2 384,"31,6",2 310,"30,0",2 238,"26,2",78362,mantes-la-ville
5 pièces ou plus,2 251,"29,8",2 179,"28,3",2 519,"29,5",78362,mantes-la-ville
Ensemble,13 238,"100,0",13 519,"100,0",14 307,"100,0",78423,montigny-le-bretonneux
1 pièce,797,"6,0",741,"5,5",1 500,"10,5",78423,montigny-le-bretonneux
2 pièces,2 069,"15,6",1 934,"14,3",2 100,"14,7",78423,montigny-le-bretonneux
3 pièces,3 224,"24,4",3 510,"26,0",3 409,"23,8",78423,montigny-le-bretonneux
4 pièces,3 282,"24,8",3 349,"24,8",3 396,"23,7",78423,montigny-le-bretonneux
5 pièces ou plus,3 865,"29,2",3 985,"29,5",3 901,"27,3",78423,montigny-le-bretonneux
Ensemble,10 378,"100,0",10 744,"100,0",11 587,"100,0",78440,les-mureaux
1 pièce,424,"4,1",550,"5,1",532,"4,6",78440,les-mureaux
2 pièces,1 137,"11,0",1 378,"12,8",1 556,"13,4",78440,les-mureaux
3 pièces,3 177,"30,6",3 138,"29,2",3 543,"30,6",78440,les-mureaux
4 pièces,3 104,"29,9",3 026,"28,2",3 413,"29,5",78440,les-mureaux
5 pièces ou plus,2 535,"24,4",2 653,"24,7",2 543,"21,9",78440,les-mureaux
Ensemble,11 538,"100,0",12 143,"100,0",12 461,"100,0",78490,plaisir
1 pièce,659,"5,7",772,"6,4",865,"6,9",78490,plaisir
2 pièces,1 911,"16,6",1 956,"16,1",1 932,"15,5",78490,plaisir
3 pièces,2 424,"21,0",2 525,"20,8",2 702,"21,7",78490,plaisir
4 pièces,2 894,"25,1",2 969,"24,5",3 136,"25,2",78490,plaisir
5 pièces ou plus,3 650,"31,6",3 920,"32,3",3 826,"30,7",78490,plaisir
Ensemble,16 211,"100,0",15 913,"100,0",17 287,"100,0",78498,poissy
1 pièce,1 106,"6,8",1 239,"7,8",1 506,"8,7",78498,poissy
2 pièces,2 751,"17,0",2 698,"17,0",3 114,"18,0",78498,poissy
3 pièces,5 826,"35,9",5 546,"34,8",5 655,"32,7",78498,poissy
4 pièces,3 830,"23,6",3 774,"23,7",4 032,"23,3",78498,poissy
5 pièces ou plus,2 698,"16,6",2 656,"16,7",2 979,"17,2",78498,poissy
Ensemble,11 349,"100,0",11 353,"100,0",12 782,"100,0",78517,rambouillet
1 pièce,1 139,"10,0",1 105,"9,7",1 395,"10,9",78517,rambouillet
2 pièces,1 924,"17,0",1 833,"16,1",2 435,"19,0",78517,rambouillet
3 pièces,2 479,"21,8",2 649,"23,3",2 963,"23,2",78517,rambouillet
4 pièces,2 475,"21,8",2 375,"20,9",2 316,"18,1",78517,rambouillet
5 pièces ou plus,3 331,"29,4",3 391,"29,9",3 674,"28,7",78517,rambouillet
Ensemble,6 890,"100,0",7 513,"100,0",8 728,"100,0",78545,saint-cyr-l-ecole
1 pièce,414,"6,0",655,"8,7",658,"7,5",78545,saint-cyr-l-ecole
2 pièces,1 040,"15,1",1 290,"17,2",1 506,"17,3",78545,saint-cyr-l-ecole
3 pièces,2 125,"30,8",2 413,"32,1",2 881,"33,0",78545,saint-cyr-l-ecole
4 pièces,1 906,"27,7",1 814,"24,2",2 049,"23,5",78545,saint-cyr-l-ecole
5 pièces ou plus,1 406,"20,4",1 341,"17,9",1 635,"18,7",78545,saint-cyr-l-ecole
Ensemble,18 690,"100,0",18 732,"100,0",19 786,"100,0",78551,saint-germain-en-laye
1 pièce,1 880,"10,1",1 838,"9,8",2 415,"12,2",78551,saint-germain-en-laye
2 pièces,3 292,"17,6",3 246,"17,3",3 200,"16,2",78551,saint-germain-en-laye
3 pièces,4 260,"22,8",4 337,"23,2",4 882,"24,7",78551,saint-germain-en-laye
4 pièces,3 962,"21,2",3 962,"21,2",3 816,"19,3",78551,saint-germain-en-laye
5 pièces ou plus,5 296,"28,3",5 349,"28,6",5 472,"27,7",78551,saint-germain-en-laye
Ensemble,19 831,"100,0",20 697,"100,0",21 271,"100,0",78586,sartrouville
1 pièce,1 225,"6,2",1 152,"5,6",1 127,"5,3",78586,sartrouville
2 pièces,2 787,"14,1",2 991,"14,5",3 449,"16,2",78586,sartrouville
3 pièces,5 866,"29,6",5 865,"28,3",6 317,"29,7",78586,sartrouville
4 pièces,5 416,"27,3",5 639,"27,2",5 444,"25,6",78586,sartrouville
5 pièces ou plus,4 538,"22,9",5 050,"24,4",4 934,"23,2",78586,sartrouville
Ensemble,10 006,"100,0",11 082,"100,0",12 315,"100,0",78621,trappes
1 pièce,528,"5,3",570,"5,1",1 237,"10,0",78621,trappes
2 pièces,1 230,"12,3",1 535,"13,9",1 926,"15,6",78621,trappes
3 pièces,3 327,"33,2",3 778,"34,1",3 820,"31,0",78621,trappes
4 pièces,3 176,"31,7",3 486,"31,5",3 583,"29,1",78621,trappes
5 pièces ou plus,1 745,"17,4",1 713,"15,5",1 749,"14,2",78621,trappes
Ensemble,8 442,"100,0",9 566,"100,0",10 318,"100,0",78640,velizy-villacoublay
1 pièce,336,"4,0",1 029,"10,8",1 483,"14,4",78640,velizy-villacoublay
2 pièces,1 025,"12,1",1 620,"16,9",1 571,"15,2",78640,velizy-villacoublay
3 pièces,2 783,"33,0",2 697,"28,2",2 768,"26,8",78640,velizy-villacoublay
4 pièces,2 498,"29,6",2 373,"24,8",2 563,"24,8",78640,velizy-villacoublay
5 pièces ou plus,1 800,"21,3",1 847,"19,3",1 933,"18,7",78640,velizy-villacoublay
Ensemble,36 863,"100,0",36 686,"100,0",37 275,"100,0",78646,versailles
1 pièce,3 813,"10,3",4 236,"11,5",4 356,"11,7",78646,versailles
2 pièces,6 926,"18,8",6 620,"18,0",7 001,"18,8",78646,versailles
3 pièces,9 217,"25,0",8 923,"24,3",9 158,"24,6",78646,versailles
4 pièces,7 642,"20,7",7 740,"21,1",7 836,"21,0",78646,versailles
5 pièces ou plus,9 266,"25,1",9 167,"25,0",8 925,"23,9",78646,versailles
Ensemble,29 219,"100,0",30 127,"100,0",31 281,"100,0",79191,niort
1 pièce,1 998,"6,8",1 560,"5,2",1 650,"5,3",79191,niort
2 pièces,4 432,"15,2",4 930,"16,4",5 079,"16,2",79191,niort
3 pièces,6 472,"22,1",6 364,"21,1",6 679,"21,4",79191,niort
4 pièces,7 684,"26,3",7 565,"25,1",7 815,"25,0",79191,niort
5 pièces ou plus,8 634,"29,5",9 708,"32,2",10 058,"32,2",79191,niort
Ensemble,10 919,"100,0",10 864,"100,0",11 316,"100,0",80001,abbeville
1 pièce,487,"4,5",483,"4,4",485,"4,3",80001,abbeville
2 pièces,1 055,"9,7",1 269,"11,7",1 571,"13,9",80001,abbeville
3 pièces,2 644,"24,2",2 711,"25,0",2 937,"26,0",80001,abbeville
4 pièces,3 094,"28,3",3 208,"29,5",3 070,"27,1",80001,abbeville
5 pièces ou plus,3 639,"33,3",3 193,"29,4",3 253,"28,7",80001,abbeville
Ensemble,62 725,"100,0",64 354,"100,0",68 045,"100,0",80021,amiens
1 pièce,8 178,"13,0",8 568,"13,3",9 929,"14,6",80021,amiens
2 pièces,10 403,"16,6",11 570,"18,0",13 397,"19,7",80021,amiens
3 pièces,14 953,"23,8",15 020,"23,3",16 147,"23,7",80021,amiens
4 pièces,13 873,"22,1",14 363,"22,3",13 890,"20,4",80021,amiens
5 pièces ou plus,15 318,"24,4",14 833,"23,0",14 682,"21,6",80021,amiens
Ensemble,24 858,"100,0",25 438,"100,0",26 704,"100,0",81004,albi
1 pièce,2 484,"10,0",2 604,"10,2",2 718,"10,2",81004,albi
2 pièces,3 539,"14,2",3 948,"15,5",4 500,"16,8",81004,albi
3 pièces,4 913,"19,8",4 857,"19,1",5 279,"19,8",81004,albi
4 pièces,6 263,"25,2",6 126,"24,1",6 038,"22,6",81004,albi
5 pièces ou plus,7 659,"30,8",7 901,"31,1",8 169,"30,6",81004,albi
Ensemble,19 456,"100,0",19 613,"100,0",20 700,"100,0",81065,castres
1 pièce,668,"3,4",952,"4,9",1 075,"5,2",81065,castres
2 pièces,2 191,"11,3",2 076,"10,6",2 426,"11,7",81065,castres
3 pièces,3 558,"18,3",3 199,"16,3",3 404,"16,4",81065,castres
4 pièces,5 092,"26,2",4 984,"25,4",5 290,"25,6",81065,castres
5 pièces ou plus,7 946,"40,8",8 402,"42,8",8 505,"41,1",81065,castres
Ensemble,25 633,"100,0",27 445,"100,0",28 591,"100,0",82121,montauban
1 pièce,1 079,"4,2",1 246,"4,5",1 298,"4,5",82121,montauban
2 pièces,3 105,"12,1",3 571,"13,0",3 608,"12,6",82121,montauban
3 pièces,5 589,"21,8",6 141,"22,4",6 258,"21,9",82121,montauban
4 pièces,7 080,"27,6",7 908,"28,8",7 861,"27,5",82121,montauban
5 pièces ou plus,8 779,"34,3",8 580,"31,3",9 565,"33,5",82121,montauban
Ensemble,16 063,"100,0",17 843,"100,0",17 964,"100,0",83050,draguignan
1 pièce,946,"5,9",1 160,"6,5",859,"4,8",83050,draguignan
2 pièces,2 300,"14,3",2 830,"15,9",2 864,"15,9",83050,draguignan
3 pièces,4 398,"27,4",4 629,"25,9",5 108,"28,4",83050,draguignan
4 pièces,4 660,"29,0",5 158,"28,9",4 926,"27,4",83050,draguignan
5 pièces ou plus,3 759,"23,4",4 067,"22,8",4 206,"23,4",83050,draguignan
Ensemble,23 782,"100,0",24 308,"100,0",27 603,"100,0",83061,frejus
1 pièce,1 900,"8,0",1 716,"7,1",1 752,"6,3",83061,frejus
2 pièces,5 122,"21,5",4 941,"20,3",6 473,"23,4",83061,frejus
3 pièces,7 211,"30,3",7 640,"31,4",9 026,"32,7",83061,frejus
4 pièces,5 798,"24,4",6 041,"24,9",6 274,"22,7",83061,frejus
5 pièces ou plus,3 752,"15,8",3 970,"16,3",4 079,"14,8",83061,frejus
Ensemble,11 322,"100,0",11 719,"100,0",12 444,"100,0",83062,la-garde
1 pièce,1 339,"11,8",1 484,"12,7",1 664,"13,4",83062,la-garde
2 pièces,1 306,"11,5",1 421,"12,1",1 430,"11,5",83062,la-garde
3 pièces,2 644,"23,4",2 827,"24,1",2 950,"23,7",83062,la-garde
4 pièces,3 719,"32,8",3 621,"30,9",3 769,"30,3",83062,la-garde
5 pièces ou plus,2 315,"20,4",2 366,"20,2",2 631,"21,1",83062,la-garde
Ensemble,25 276,"100,0",26 563,"100,0",27 747,"100,0",83069,hyeres
1 pièce,1 875,"7,4",1 926,"7,3",1 912,"6,9",83069,hyeres
2 pièces,4 503,"17,8",5 389,"20,3",5 816,"21,0",83069,hyeres
3 pièces,7 475,"29,6",8 174,"30,8",8 556,"30,8",83069,hyeres
4 pièces,6 874,"27,2",6 678,"25,1",6 738,"24,3",83069,hyeres
5 pièces ou plus,4 548,"18,0",4 396,"16,5",4 725,"17,0",83069,hyeres
Ensemble,16 551,"100,0",18 256,"100,0",19 122,"100,0",83118,saint-raphael
1 pièce,947,"5,7",1 077,"5,9",984,"5,1",83118,saint-raphael
2 pièces,2 617,"15,8",3 628,"19,9",3 809,"19,9",83118,saint-raphael
3 pièces,5 445,"32,9",5 949,"32,6",6 197,"32,4",83118,saint-raphael
4 pièces,4 376,"26,4",4 589,"25,1",4 312,"22,6",83118,saint-raphael
5 pièces ou plus,3 167,"19,1",3 013,"16,5",3 820,"20,0",83118,saint-raphael
Ensemble,27 519,"100,0",29 298,"100,0",29 832,"100,0",83126,la-seyne-sur-mer
1 pièce,1 032,"3,8",1 266,"4,3",1 432,"4,8",83126,la-seyne-sur-mer
2 pièces,4 094,"14,9",5 111,"17,4",5 274,"17,7",83126,la-seyne-sur-mer
3 pièces,8 885,"32,3",9 191,"31,4",9 439,"31,6",83126,la-seyne-sur-mer
4 pièces,8 962,"32,6",9 101,"31,1",8 973,"30,1",83126,la-seyne-sur-mer
5 pièces ou plus,4 545,"16,5",4 629,"15,8",4 713,"15,8",83126,la-seyne-sur-mer
