Nombre d'enfants,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Ensemble,24896,"100,0",24143,"100,0",24439,"100,0",76540,rouen
Aucun enfant,12514,"50,3",11844,"49,1",12273,"50,2",76540,rouen
1 enfant,6150,"24,7",6041,"25,0",5811,"23,8",76540,rouen
2 enfants,4032,"16,2",4092,"16,9",4112,"16,8",76540,rouen
3 enfants,1516,"6,1",1487,"6,2",1541,"6,3",76540,rouen
4 enfants ou plus,685,"2,8",680,"2,8",702,"2,9",76540,rouen
Ensemble,7532,"100,0",7407,"100,0",7348,"100,0",76575,saint-etienne-du-rouvray
Aucun enfant,3280,"43,6",3145,"42,5",3128,"42,6",76575,saint-etienne-du-rouvray
1 enfant,1739,"23,1",1690,"22,8",1504,"20,5",76575,saint-etienne-du-rouvray
2 enfants,1392,"18,5",1550,"20,9",1454,"19,8",76575,saint-etienne-du-rouvray
3 enfants,784,"10,4",705,"9,5",769,"10,5",76575,saint-etienne-du-rouvray
4 enfants ou plus,336,"4,5",316,"4,3",493,"6,7",76575,saint-etienne-du-rouvray
Ensemble,8101,"100,0",7955,"100,0",7608,"100,0",76681,sotteville-les-rouen
Aucun enfant,3995,"49,3",3718,"46,7",3296,"43,3",76681,sotteville-les-rouen
1 enfant,2133,"26,3",2018,"25,4",2027,"26,6",76681,sotteville-les-rouen
2 enfants,1392,"17,2",1544,"19,4",1500,"19,7",76681,sotteville-les-rouen
3 enfants,428,"5,3",529,"6,6",579,"7,6",76681,sotteville-les-rouen
4 enfants ou plus,153,"1,9",146,"1,8",207,"2,7",76681,sotteville-les-rouen
Ensemble,6295,"100,0",7149,"100,0",7138,"100,0",77058,bussy-saint-georges
Aucun enfant,1819,"28,9",2318,"32,4",2712,"38,0",77058,bussy-saint-georges
1 enfant,1775,"28,2",2032,"28,4",1914,"26,8",77058,bussy-saint-georges
2 enfants,1835,"29,1",2017,"28,2",1795,"25,2",77058,bussy-saint-georges
3 enfants,733,"11,6",620,"8,7",570,"8,0",77058,bussy-saint-georges
4 enfants ou plus,133,"2,1",162,"2,3",147,"2,1",77058,bussy-saint-georges
Ensemble,6632,"100,0",6645,"100,0",6597,"100,0",77083,champs-sur-marne
Aucun enfant,2427,"36,6",2471,"37,2",2479,"37,6",77083,champs-sur-marne
1 enfant,1932,"29,1",1780,"26,8",1656,"25,1",77083,champs-sur-marne
2 enfants,1504,"22,7",1628,"24,5",1466,"22,2",77083,champs-sur-marne
3 enfants,602,"9,1",545,"8,2",742,"11,3",77083,champs-sur-marne
4 enfants ou plus,168,"2,5",221,"3,3",253,"3,8",77083,champs-sur-marne
Ensemble,14703,"100,0",14667,"100,0",14654,"100,0",77108,chelles
Aucun enfant,5884,"40,0",5813,"39,6",6032,"41,2",77108,chelles
1 enfant,3628,"24,7",3468,"23,6",3284,"22,4",77108,chelles
2 enfants,3380,"23,0",3279,"22,4",3398,"23,2",77108,chelles
3 enfants,1363,"9,3",1528,"10,4",1494,"10,2",77108,chelles
4 enfants ou plus,447,"3,0",579,"3,9",446,"3,0",77108,chelles
Ensemble,6127,"100,0",6222,"100,0",6158,"100,0",77122,combs-la-ville
Aucun enfant,2432,"39,7",2539,"40,8",2658,"43,2",77122,combs-la-ville
1 enfant,1561,"25,5",1432,"23,0",1365,"22,2",77122,combs-la-ville
2 enfants,1345,"22,0",1479,"23,8",1440,"23,4",77122,combs-la-ville
3 enfants,609,"9,9",574,"9,2",528,"8,6",77122,combs-la-ville
4 enfants ou plus,180,"2,9",197,"3,2",167,"2,7",77122,combs-la-ville
Ensemble,5393,"100,0",5699,"100,0",5976,"100,0",77152,dammarie-les-lys
Aucun enfant,2213,"41,0",2286,"40,1",2303,"38,5",77152,dammarie-les-lys
1 enfant,1238,"23,0",1371,"24,0",1379,"23,1",77152,dammarie-les-lys
2 enfants,1122,"20,8",1167,"20,5",1250,"20,9",77152,dammarie-les-lys
3 enfants,517,"9,6",606,"10,6",741,"12,4",77152,dammarie-les-lys
4 enfants ou plus,303,"5,6",269,"4,7",304,"5,1",77152,dammarie-les-lys
Ensemble,5541,"100,0",5881,"100,0",5845,"100,0",77243,lagny-sur-marne
Aucun enfant,2387,"43,1",2416,"41,1",2612,"44,7",77243,lagny-sur-marne
1 enfant,1431,"25,8",1509,"25,7",1516,"25,9",77243,lagny-sur-marne
2 enfants,1207,"21,8",1382,"23,5",1263,"21,6",77243,lagny-sur-marne
3 enfants,369,"6,7",423,"7,2",344,"5,9",77243,lagny-sur-marne
4 enfants ou plus,147,"2,7",151,"2,6",110,"1,9",77243,lagny-sur-marne
Ensemble,13014,"100,0",13614,"100,0",14026,"100,0",77284,meaux
Aucun enfant,4660,"35,8",4831,"35,5",5340,"38,1",77284,meaux
1 enfant,3623,"27,8",3716,"27,3",3646,"26,0",77284,meaux
2 enfants,2702,"20,8",2892,"21,2",2642,"18,8",77284,meaux
3 enfants,1249,"9,6",1437,"10,6",1486,"10,6",77284,meaux
4 enfants ou plus,780,"6,0",738,"5,4",913,"6,5",77284,meaux
Ensemble,5465,"100,0",5452,"100,0",5072,"100,0",77285,le-mee-sur-seine
Aucun enfant,1845,"33,8",1785,"32,7",1823,"35,9",77285,le-mee-sur-seine
1 enfant,1470,"26,9",1333,"24,4",1115,"22,0",77285,le-mee-sur-seine
2 enfants,1237,"22,6",1219,"22,4",1084,"21,4",77285,le-mee-sur-seine
3 enfants,610,"11,2",781,"14,3",673,"13,3",77285,le-mee-sur-seine
4 enfants ou plus,303,"5,6",335,"6,1",377,"7,4",77285,le-mee-sur-seine
Ensemble,9496,"100,0",9721,"100,0",10526,"100,0",77288,melun
Aucun enfant,3717,"39,1",3720,"38,3",3518,"33,4",77288,melun
1 enfant,2491,"26,2",2507,"25,8",2953,"28,0",77288,melun
2 enfants,1948,"20,5",1927,"19,8",2268,"21,5",77288,melun
3 enfants,788,"8,3",1083,"11,1",1178,"11,2",77288,melun
4 enfants ou plus,553,"5,8",484,"5,0",610,"5,8",77288,melun
Ensemble,5110,"100,0",5308,"100,0",5560,"100,0",77294,mitry-mory
Aucun enfant,1859,"36,4",1880,"35,4",1929,"34,7",77294,mitry-mory
1 enfant,1187,"23,2",1172,"22,1",1381,"24,8",77294,mitry-mory
2 enfants,1402,"27,4",1330,"25,1",1339,"24,1",77294,mitry-mory
3 enfants,497,"9,7",661,"12,4",595,"10,7",77294,mitry-mory
4 enfants ou plus,165,"3,2",264,"5,0",316,"5,7",77294,mitry-mory
Ensemble,4113,"100,0",4827,"100,0",5506,"100,0",77305,montereau-fault-yonne
Aucun enfant,1510,"36,7",1860,"38,5",1827,"33,2",77305,montereau-fault-yonne
1 enfant,1004,"24,4",1154,"23,9",1274,"23,1",77305,montereau-fault-yonne
2 enfants,814,"19,8",903,"18,7",1104,"20,1",77305,montereau-fault-yonne
3 enfants,513,"12,5",623,"12,9",772,"14,0",77305,montereau-fault-yonne
4 enfants ou plus,273,"6,6",287,"5,9",529,"9,6",77305,montereau-fault-yonne
Ensemble,5850,"100,0",5858,"100,0",6084,"100,0",77350,ozoir-la-ferriere
Aucun enfant,2341,"40,0",2548,"43,5",2787,"45,8",77350,ozoir-la-ferriere
1 enfant,1412,"24,1",1340,"22,9",1370,"22,5",77350,ozoir-la-ferriere
2 enfants,1447,"24,7",1397,"23,8",1313,"21,6",77350,ozoir-la-ferriere
3 enfants,498,"8,5",424,"7,2",462,"7,6",77350,ozoir-la-ferriere
4 enfants ou plus,152,"2,6",150,"2,6",152,"2,5",77350,ozoir-la-ferriere
Ensemble,9894,"100,0",10601,"100,0",10812,"100,0",77373,pontault-combault
Aucun enfant,3592,"36,3",3983,"37,6",4415,"40,8",77373,pontault-combault
1 enfant,2550,"25,8",2720,"25,7",2578,"23,8",77373,pontault-combault
2 enfants,2509,"25,4",2552,"24,1",2548,"23,6",77373,pontault-combault
3 enfants,966,"9,8",973,"9,2",919,"8,5",77373,pontault-combault
4 enfants ou plus,276,"2,8",373,"3,5",353,"3,3",77373,pontault-combault
Ensemble,6020,"100,0",6325,"100,0",6326,"100,0",77390,roissy-en-brie
Aucun enfant,1985,"33,0",2185,"34,5",2347,"37,1",77390,roissy-en-brie
1 enfant,1517,"25,2",1551,"24,5",1519,"24,0",77390,roissy-en-brie
2 enfants,1577,"26,2",1635,"25,8",1528,"24,2",77390,roissy-en-brie
3 enfants,687,"11,4",666,"10,5",724,"11,5",77390,roissy-en-brie
4 enfants ou plus,253,"4,2",288,"4,5",207,"3,3",77390,roissy-en-brie
Ensemble,7475,"100,0",7876,"100,0",7995,"100,0",77445,savigny-le-temple
Aucun enfant,2045,"27,4",2339,"29,7",2378,"29,7",77445,savigny-le-temple
1 enfant,1881,"25,2",1805,"22,9",2022,"25,3",77445,savigny-le-temple
2 enfants,2098,"28,1",2091,"26,5",1947,"24,3",77445,savigny-le-temple
3 enfants,1044,"14,0",1104,"14,0",1118,"14,0",77445,savigny-le-temple
4 enfants ou plus,407,"5,4",537,"6,8",530,"6,6",77445,savigny-le-temple
Ensemble,5973,"100,0",6082,"100,0",5996,"100,0",77468,torcy
Aucun enfant,1984,"33,2",2000,"32,9",2127,"35,5",77468,torcy
1 enfant,1658,"27,8",1577,"25,9",1566,"26,1",77468,torcy
2 enfants,1545,"25,9",1515,"24,9",1340,"22,3",77468,torcy
3 enfants,563,"9,4",710,"11,7",687,"11,5",77468,torcy
4 enfants ou plus,224,"3,7",280,"4,6",277,"4,6",77468,torcy
Ensemble,6576,"100,0",7086,"100,0",7040,"100,0",77514,villeparisis
Aucun enfant,2776,"42,2",2692,"38,0",2582,"36,7",77514,villeparisis
1 enfant,1620,"24,6",1747,"24,6",1655,"23,5",77514,villeparisis
2 enfants,1460,"22,2",1621,"22,9",1679,"23,9",77514,villeparisis
3 enfants,536,"8,2",732,"10,3",768,"10,9",77514,villeparisis
4 enfants ou plus,184,"2,8",295,"4,2",355,"5,0",77514,villeparisis
Ensemble,5514,"100,0",5911,"100,0",5917,"100,0",78005,acheres
Aucun enfant,1990,"36,1",2276,"38,5",2315,"39,1",78005,acheres
1 enfant,1537,"27,9",1469,"24,8",1556,"26,3",78005,acheres
2 enfants,1392,"25,3",1511,"25,6",1362,"23,0",78005,acheres
3 enfants,456,"8,3",494,"8,4",508,"8,6",78005,acheres
4 enfants ou plus,139,"2,5",161,"2,7",176,"3,0",78005,acheres
Ensemble,5847,"100,0",5862,"100,0",5656,"100,0",78126,la-celle-saint-cloud
Aucun enfant,2391,"40,9",2378,"40,6",2196,"38,8",78126,la-celle-saint-cloud
1 enfant,1335,"22,8",1343,"22,9",1394,"24,7",78126,la-celle-saint-cloud
2 enfants,1427,"24,4",1385,"23,6",1364,"24,1",78126,la-celle-saint-cloud
3 enfants,566,"9,7",611,"10,4",548,"9,7",78126,la-celle-saint-cloud
4 enfants ou plus,127,"2,2",145,"2,5",154,"2,7",78126,la-celle-saint-cloud
Ensemble,8293,"100,0",8584,"100,0",8308,"100,0",78146,chatou
Aucun enfant,3306,"39,9",3495,"40,7",3494,"42,1",78146,chatou
1 enfant,2103,"25,4",2062,"24,0",1994,"24,0",78146,chatou
2 enfants,2050,"24,7",2162,"25,2",1964,"23,6",78146,chatou
3 enfants,634,"7,6",704,"8,2",717,"8,6",78146,chatou
4 enfants ou plus,199,"2,4",160,"1,9",139,"1,7",78146,chatou
Ensemble,8781,"100,0",8582,"100,0",8378,"100,0",78158,le-chesnay-rocquencourt
Aucun enfant,4234,"48,2",4213,"49,1",4228,"50,5",78158,le-chesnay-rocquencourt
1 enfant,1962,"22,3",1904,"22,2",1692,"20,2",78158,le-chesnay-rocquencourt
2 enfants,1738,"19,8",1601,"18,7",1555,"18,6",78158,le-chesnay-rocquencourt
3 enfants,596,"6,8",582,"6,8",583,"7,0",78158,le-chesnay-rocquencourt
4 enfants ou plus,252,"2,9",281,"3,3",320,"3,8",78158,le-chesnay-rocquencourt
Ensemble,9671,"100,0",9510,"100,0",9996,"100,0",78172,conflans-sainte-honorine
Aucun enfant,4028,"41,7",3831,"40,3",4056,"40,6",78172,conflans-sainte-honorine
1 enfant,2264,"23,4",2364,"24,9",2378,"23,8",78172,conflans-sainte-honorine
2 enfants,2332,"24,1",2378,"25,0",2548,"25,5",78172,conflans-sainte-honorine
3 enfants,759,"7,8",711,"7,5",761,"7,6",78172,conflans-sainte-honorine
4 enfants ou plus,288,"3,0",228,"2,4",252,"2,5",78172,conflans-sainte-honorine
Ensemble,7276,"100,0",6892,"100,0",7051,"100,0",78208,elancourt
Aucun enfant,2645,"36,4",2677,"38,8",2713,"38,5",78208,elancourt
1 enfant,1921,"26,4",1725,"25,0",1669,"23,7",78208,elancourt
2 enfants,1791,"24,6",1780,"25,8",1672,"23,7",78208,elancourt
3 enfants,705,"9,7",525,"7,6",743,"10,5",78208,elancourt
4 enfants ou plus,214,"2,9",185,"2,7",254,"3,6",78208,elancourt
Ensemble,7584,"100,0",7526,"100,0",7711,"100,0",78297,guyancourt
Aucun enfant,2433,"32,1",2512,"33,4",2697,"35,0",78297,guyancourt
1 enfant,2098,"27,7",2067,"27,5",1930,"25,0",78297,guyancourt
2 enfants,2095,"27,6",1942,"25,8",2012,"26,1",78297,guyancourt
3 enfants,713,"9,4",792,"10,5",776,"10,1",78297,guyancourt
4 enfants ou plus,245,"3,2",212,"2,8",295,"3,8",78297,guyancourt
Ensemble,8910,"100,0",8950,"100,0",9394,"100,0",78311,houilles
Aucun enfant,3728,"41,8",3736,"41,7",3918,"41,7",78311,houilles
1 enfant,2206,"24,8",2131,"23,8",2128,"22,7",78311,houilles
2 enfants,2124,"23,8",2239,"25,0",2569,"27,4",78311,houilles
3 enfants,694,"7,8",681,"7,6",618,"6,6",78311,houilles
4 enfants ou plus,159,"1,8",162,"1,8",160,"1,7",78311,houilles
Ensemble,6370,"100,0",6438,"100,0",6307,"100,0",78358,maisons-laffitte
Aucun enfant,2927,"46,0",2862,"44,5",2824,"44,8",78358,maisons-laffitte
1 enfant,1309,"20,5",1528,"23,7",1469,"23,3",78358,maisons-laffitte
2 enfants,1508,"23,7",1449,"22,5",1495,"23,7",78358,maisons-laffitte
3 enfants,471,"7,4",484,"7,5",435,"6,9",78358,maisons-laffitte
4 enfants ou plus,155,"2,4",114,"1,8",84,"1,3",78358,maisons-laffitte
Ensemble,10276,"100,0",10879,"100,0",10927,"100,0",78361,mantes-la-jolie
Aucun enfant,3546,"34,5",3838,"35,3",4191,"38,4",78361,mantes-la-jolie
1 enfant,2471,"24,1",2691,"24,7",2377,"21,8",78361,mantes-la-jolie
2 enfants,2157,"21,0",2174,"20,0",1956,"17,9",78361,mantes-la-jolie
3 enfants,1156,"11,3",1302,"12,0",1410,"12,9",78361,mantes-la-jolie
4 enfants ou plus,944,"9,2",875,"8,0",993,"9,1",78361,mantes-la-jolie
Ensemble,5140,"100,0",5256,"100,0",5634,"100,0",78362,mantes-la-ville
Aucun enfant,1968,"38,3",1997,"38,0",2138,"37,9",78362,mantes-la-ville
1 enfant,1322,"25,7",1288,"24,5",1262,"22,4",78362,mantes-la-ville
2 enfants,1149,"22,4",1091,"20,8",1152,"20,4",78362,mantes-la-ville
3 enfants,455,"8,9",592,"11,3",661,"11,7",78362,mantes-la-ville
4 enfants ou plus,246,"4,8",288,"5,5",422,"7,5",78362,mantes-la-ville
Ensemble,9605,"100,0",9454,"100,0",8718,"100,0",78423,montigny-le-bretonneux
Aucun enfant,3755,"39,1",3817,"40,4",3749,"43,0",78423,montigny-le-bretonneux
1 enfant,2589,"27,0",2403,"25,4",1999,"22,9",78423,montigny-le-bretonneux
2 enfants,2428,"25,3",2431,"25,7",2203,"25,3",78423,montigny-le-bretonneux
3 enfants,672,"7,0",642,"6,8",620,"7,1",78423,montigny-le-bretonneux
4 enfants ou plus,160,"1,7",161,"1,7",148,"1,7",78423,montigny-le-bretonneux
Ensemble,7657,"100,0",7748,"100,0",8493,"100,0",78440,les-mureaux
Aucun enfant,2709,"35,4",2684,"34,6",3098,"36,5",78440,les-mureaux
1 enfant,1813,"23,7",1736,"22,4",1721,"20,3",78440,les-mureaux
2 enfants,1650,"21,6",1656,"21,4",1537,"18,1",78440,les-mureaux
3 enfants,891,"11,6",995,"12,8",1326,"15,6",78440,les-mureaux
4 enfants ou plus,594,"7,8",677,"8,7",811,"9,5",78440,les-mureaux
Ensemble,8180,"100,0",8416,"100,0",8403,"100,0",78490,plaisir
Aucun enfant,3010,"36,8",3216,"38,2",3344,"39,8",78490,plaisir
1 enfant,1881,"23,0",2026,"24,1",1943,"23,1",78490,plaisir
2 enfants,2205,"27,0",2074,"24,6",1915,"22,8",78490,plaisir
3 enfants,788,"9,6",797,"9,5",825,"9,8",78490,plaisir
4 enfants ou plus,296,"3,6",303,"3,6",375,"4,5",78490,plaisir
Ensemble,10018,"100,0",9801,"100,0",10751,"100,0",78498,poissy
Aucun enfant,4349,"43,4",4137,"42,2",4352,"40,5",78498,poissy
1 enfant,2687,"26,8",2542,"25,9",2748,"25,6",78498,poissy
2 enfants,2009,"20,1",2033,"20,7",2300,"21,4",78498,poissy
3 enfants,718,"7,2",767,"7,8",950,"8,8",78498,poissy
4 enfants ou plus,254,"2,5",321,"3,3",401,"3,7",78498,poissy
Ensemble,7095,"100,0",6907,"100,0",7235,"100,0",78517,rambouillet
Aucun enfant,3352,"47,2",3260,"47,2",3673,"50,8",78517,rambouillet
1 enfant,1492,"21,0",1603,"23,2",1542,"21,3",78517,rambouillet
2 enfants,1479,"20,8",1364,"19,8",1338,"18,5",78517,rambouillet
3 enfants,545,"7,7",509,"7,4",489,"6,8",78517,rambouillet
4 enfants ou plus,228,"3,2",170,"2,5",193,"2,7",78517,rambouillet
Ensemble,4641,"100,0",4800,"100,0",5724,"100,0",78545,saint-cyr-l-ecole
Aucun enfant,1848,"39,8",1854,"38,6",2284,"39,9",78545,saint-cyr-l-ecole
1 enfant,1143,"24,6",1255,"26,2",1493,"26,1",78545,saint-cyr-l-ecole
2 enfants,1047,"22,6",1081,"22,5",1297,"22,7",78545,saint-cyr-l-ecole
3 enfants,447,"9,6",433,"9,0",433,"7,6",78545,saint-cyr-l-ecole
4 enfants ou plus,156,"3,4",176,"3,7",217,"3,8",78545,saint-cyr-l-ecole
Ensemble,12027,"100,0",11558,"100,0",11813,"100,0",78551,saint-germain-en-laye
Aucun enfant,5359,"44,6",4902,"42,4",4927,"41,7",78551,saint-germain-en-laye
1 enfant,2693,"22,4",2734,"23,7",2884,"24,4",78551,saint-germain-en-laye
2 enfants,2606,"21,7",2591,"22,4",2770,"23,4",78551,saint-germain-en-laye
3 enfants,1055,"8,8",974,"8,4",885,"7,5",78551,saint-germain-en-laye
4 enfants ou plus,314,"2,6",357,"3,1",347,"2,9",78551,saint-germain-en-laye
Ensemble,13728,"100,0",14110,"100,0",13802,"100,0",78586,sartrouville
Aucun enfant,5620,"40,9",5863,"41,6",6073,"44,0",78586,sartrouville
1 enfant,3316,"24,2",3443,"24,4",3109,"22,5",78586,sartrouville
2 enfants,3143,"22,9",3160,"22,4",3062,"22,2",78586,sartrouville
3 enfants,1199,"8,7",1164,"8,2",1140,"8,3",78586,sartrouville
4 enfants ou plus,450,"3,3",480,"3,4",418,"3,0",78586,sartrouville
Ensemble,7351,"100,0",8009,"100,0",8349,"100,0",78621,trappes
Aucun enfant,2240,"30,5",2493,"31,1",2643,"31,7",78621,trappes
1 enfant,1846,"25,1",2022,"25,2",1969,"23,6",78621,trappes
2 enfants,1672,"22,7",1655,"20,7",1732,"20,7",78621,trappes
3 enfants,1039,"14,1",1162,"14,5",1167,"14,0",78621,trappes
4 enfants ou plus,554,"7,5",678,"8,5",838,"10,0",78621,trappes
Ensemble,5487,"100,0",5729,"100,0",5828,"100,0",78640,velizy-villacoublay
Aucun enfant,2575,"46,9",2675,"46,7",2581,"44,3",78640,velizy-villacoublay
1 enfant,1296,"23,6",1352,"23,6",1381,"23,7",78640,velizy-villacoublay
2 enfants,1234,"22,5",1200,"20,9",1362,"23,4",78640,velizy-villacoublay
3 enfants,314,"5,7",402,"7,0",428,"7,4",78640,velizy-villacoublay
4 enfants ou plus,69,"1,3",100,"1,8",76,"1,3",78640,velizy-villacoublay
Ensemble,21816,"100,0",21853,"100,0",21188,"100,0",78646,versailles
Aucun enfant,10012,"45,9",9906,"45,3",9563,"45,1",78646,versailles
1 enfant,4694,"21,5",4814,"22,0",4749,"22,4",78646,versailles
2 enfants,4254,"19,5",4343,"19,9",4202,"19,8",78646,versailles
3 enfants,1859,"8,5",1835,"8,4",1830,"8,6",78646,versailles
4 enfants ou plus,996,"4,6",955,"4,4",843,"4,0",78646,versailles
Ensemble,14948,"100,0",15105,"100,0",15108,"100,0",79191,niort
Aucun enfant,7799,"52,2",7628,"50,5",7889,"52,2",79191,niort
1 enfant,3540,"23,7",3619,"24,0",3552,"23,5",79191,niort
2 enfants,2593,"17,3",2725,"18,0",2531,"16,7",79191,niort
3 enfants,791,"5,3",885,"5,9",862,"5,7",79191,niort
4 enfants ou plus,226,"1,5",247,"1,6",274,"1,8",79191,niort
Ensemble,6410,"100,0",6182,"100,0",5966,"100,0",80001,abbeville
Aucun enfant,3035,"47,3",3023,"48,9",3111,"52,1",80001,abbeville
1 enfant,1658,"25,9",1527,"24,7",1341,"22,5",80001,abbeville
2 enfants,1064,"16,6",999,"16,2",993,"16,6",80001,abbeville
3 enfants,497,"7,8",403,"6,5",383,"6,4",80001,abbeville
4 enfants ou plus,156,"2,4",230,"3,7",138,"2,3",80001,abbeville
Ensemble,32823,"100,0",31823,"100,0",31102,"100,0",80021,amiens
Aucun enfant,14820,"45,2",14371,"45,2",14272,"45,9",80021,amiens
1 enfant,8355,"25,5",7894,"24,8",7634,"24,5",80021,amiens
2 enfants,6026,"18,4",5963,"18,7",5569,"17,9",80021,amiens
3 enfants,2427,"7,4",2389,"7,5",2436,"7,8",80021,amiens
4 enfants ou plus,1195,"3,6",1205,"3,8",1192,"3,8",80021,amiens
Ensemble,12666,"100,0",12414,"100,0",12395,"100,0",81004,albi
Aucun enfant,7221,"57,0",6934,"55,9",7058,"56,9",81004,albi
1 enfant,2674,"21,1",2718,"21,9",2537,"20,5",81004,albi
2 enfants,1927,"15,2",1873,"15,1",2000,"16,1",81004,albi
3 enfants,628,"5,0",574,"4,6",549,"4,4",81004,albi
4 enfants ou plus,216,"1,7",315,"2,5",251,"2,0",81004,albi
Ensemble,11618,"100,0",11211,"100,0",11310,"100,0",81065,castres
Aucun enfant,6126,"52,7",5962,"53,2",6154,"54,4",81065,castres
1 enfant,2476,"21,3",2382,"21,3",2351,"20,8",81065,castres
2 enfants,1961,"16,9",1891,"16,9",1759,"15,5",81065,castres
3 enfants,789,"6,8",665,"5,9",690,"6,1",81065,castres
4 enfants ou plus,267,"2,3",310,"2,8",356,"3,2",81065,castres
Ensemble,15440,"100,0",16253,"100,0",16659,"100,0",82121,montauban
Aucun enfant,7796,"50,5",8216,"50,6",8160,"49,0",82121,montauban
1 enfant,3610,"23,4",3658,"22,5",3865,"23,2",82121,montauban
2 enfants,2754,"17,8",2896,"17,8",3115,"18,7",82121,montauban
3 enfants,953,"6,2",1071,"6,6",1079,"6,5",82121,montauban
4 enfants ou plus,327,"2,1",413,"2,5",441,"2,6",82121,montauban
Ensemble,10178,"100,0",11267,"100,0",11177,"100,0",83050,draguignan
Aucun enfant,4927,"48,4",5429,"48,2",5591,"50,0",83050,draguignan
1 enfant,2552,"25,1",2606,"23,1",2602,"23,3",83050,draguignan
2 enfants,1779,"17,5",2293,"20,4",2058,"18,4",83050,draguignan
3 enfants,698,"6,9",718,"6,4",668,"6,0",83050,draguignan
4 enfants ou plus,221,"2,2",221,"2,0",257,"2,3",83050,draguignan
Ensemble,14799,"100,0",15245,"100,0",16408,"100,0",83061,frejus
Aucun enfant,8223,"55,6",8392,"55,0",9045,"55,1",83061,frejus
1 enfant,3233,"21,8",3433,"22,5",3695,"22,5",83061,frejus
2 enfants,2422,"16,4",2450,"16,1",2549,"15,5",83061,frejus
3 enfants,660,"4,5",749,"4,9",812,"5,0",83061,frejus
4 enfants ou plus,261,"1,8",221,"1,4",308,"1,9",83061,frejus
Ensemble,6892,"100,0",6726,"100,0",6917,"100,0",83062,la-garde
Aucun enfant,3341,"48,5",3474,"51,6",3613,"52,2",83062,la-garde
1 enfant,1695,"24,6",1603,"23,8",1486,"21,5",83062,la-garde
2 enfants,1257,"18,2",1139,"16,9",1206,"17,4",83062,la-garde
3 enfants,442,"6,4",407,"6,1",494,"7,1",83062,la-garde
4 enfants ou plus,158,"2,3",104,"1,5",118,"1,7",83062,la-garde
Ensemble,15083,"100,0",15344,"100,0",14831,"100,0",83069,hyeres
Aucun enfant,8023,"53,2",8344,"54,4",8310,"56,0",83069,hyeres
1 enfant,3604,"23,9",3499,"22,8",3302,"22,3",83069,hyeres
2 enfants,2551,"16,9",2508,"16,3",2260,"15,2",83069,hyeres
3 enfants,726,"4,8",751,"4,9",724,"4,9",83069,hyeres
4 enfants ou plus,178,"1,2",241,"1,6",236,"1,6",83069,hyeres
Ensemble,10081,"100,0",10502,"100,0",10684,"100,0",83118,saint-raphael
Aucun enfant,6430,"63,8",6857,"65,3",7320,"68,5",83118,saint-raphael
1 enfant,1926,"19,1",1961,"18,7",1692,"15,8",83118,saint-raphael
2 enfants,1248,"12,4",1233,"11,7",1225,"11,5",83118,saint-raphael
3 enfants,393,"3,9",366,"3,5",380,"3,6",83118,saint-raphael
4 enfants ou plus,83,"0,8",85,"0,8",68,"0,6",83118,saint-raphael
Ensemble,17794,"100,0",18309,"100,0",18111,"100,0",83126,la-seyne-sur-mer
Aucun enfant,8885,"49,9",9141,"49,9",9767,"53,9",83126,la-seyne-sur-mer
1 enfant,4272,"24,0",4351,"23,8",3869,"21,4",83126,la-seyne-sur-mer
2 enfants,3114,"17,5",3291,"18,0",2964,"16,4",83126,la-seyne-sur-mer
3 enfants,1097,"6,2",1125,"6,1",1125,"6,2",83126,la-seyne-sur-mer
4 enfants ou plus,426,"2,4",402,"2,2",387,"2,1",83126,la-seyne-sur-mer
Ensemble,10400,"100,0",9987,"100,0",10712,"100,0",83129,six-fours-les-plages
Aucun enfant,6014,"57,8",5760,"57,7",6296,"58,8",83129,six-fours-les-plages
1 enfant,2032,"19,5",2286,"22,9",2168,"20,2",83129,six-fours-les-plages
2 enfants,1795,"17,3",1563,"15,7",1793,"16,7",83129,six-fours-les-plages
3 enfants,459,"4,4",297,"3,0",369,"3,4",83129,six-fours-les-plages
4 enfants ou plus,100,"1,0",81,"0,8",85,"0,8",83129,six-fours-les-plages
Ensemble,43199,"100,0",44111,"100,0",47138,"100,0",83137,toulon
Aucun enfant,21146,"48,9",21858,"49,6",23162,"49,1",83137,toulon
1 enfant,10800,"25,0",11345,"25,7",11771,"25,0",83137,toulon
2 enfants,7475,"17,3",7297,"16,5",8271,"17,5",83137,toulon
3 enfants,2693,"6,2",2577,"5,8",2811,"6,0",83137,toulon
4 enfants ou plus,1086,"2,5",1034,"2,3",1123,"2,4",83137,toulon
Ensemble,6180,"100,0",6857,"100,0",6845,"100,0",83144,la-valette-du-var
Aucun enfant,3286,"53,2",3739,"54,5",3664,"53,5",83144,la-valette-du-var
1 enfant,1539,"24,9",1568,"22,9",1654,"24,2",83144,la-valette-du-var
2 enfants,1080,"17,5",1204,"17,6",1172,"17,1",83144,la-valette-du-var
3 enfants,218,"3,5",284,"4,1",280,"4,1",83144,la-valette-du-var
4 enfants ou plus,57,"0,9",62,"0,9",75,"1,1",83144,la-valette-du-var
Ensemble,22611,"100,0",22431,"100,0",21931,"100,0",84007,avignon
Aucun enfant,9989,"44,2",9967,"44,4",9788,"44,6",84007,avignon
1 enfant,5714,"25,3",5576,"24,9",4937,"22,5",84007,avignon
