Nombre d'enfants,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Aucun enfant,2968,"49,8",3429,"51,7",3441,"48,8",13071,les-pennes-mirabeau
1 enfant,1372,"23,0",1511,"22,8",1680,"23,8",13071,les-pennes-mirabeau
2 enfants,1281,"21,5",1355,"20,4",1514,"21,5",13071,les-pennes-mirabeau
3 enfants,289,"4,8",296,"4,5",346,"4,9",13071,les-pennes-mirabeau
4 enfants ou plus,56,"0,9",36,"0,5",65,"0,9",13071,les-pennes-mirabeau
Ensemble,11597,"100,0",12040,"100,0",12070,"100,0",13103,salon-de-provence
Aucun enfant,5327,"45,9",5526,"45,9",5823,"48,2",13103,salon-de-provence
1 enfant,2780,"24,0",2955,"24,5",2830,"23,4",13103,salon-de-provence
2 enfants,2358,"20,3",2502,"20,8",2330,"19,3",13103,salon-de-provence
3 enfants,826,"7,1",773,"6,4",875,"7,3",13103,salon-de-provence
4 enfants ou plus,306,"2,6",283,"2,4",212,"1,8",13103,salon-de-provence
Ensemble,9890,"100,0",9445,"100,0",10135,"100,0",13117,vitrolles
Aucun enfant,3953,"40,0",3928,"41,6",4252,"42,0",13117,vitrolles
1 enfant,2547,"25,8",2277,"24,1",2324,"22,9",13117,vitrolles
2 enfants,2253,"22,8",2146,"22,7",2358,"23,3",13117,vitrolles
3 enfants,843,"8,5",815,"8,6",850,"8,4",13117,vitrolles
4 enfants ou plus,293,"3,0",280,"3,0",351,"3,5",13117,vitrolles
Ensemble,24105,"100,0",23011,"100,0",22630,"100,0",14118,caen
Aucun enfant,12672,"52,6",11924,"51,8",11692,"51,7",14118,caen
1 enfant,5666,"23,5",5297,"23,0",5228,"23,1",14118,caen
2 enfants,3881,"16,1",3890,"16,9",3595,"15,9",14118,caen
3 enfants,1389,"5,8",1326,"5,8",1426,"6,3",14118,caen
4 enfants ou plus,497,"2,1",573,"2,5",689,"3,0",14118,caen
Ensemble,5306,"100,0",5563,"100,0",5425,"100,0",14327,herouville-saint-clair
Aucun enfant,2300,"43,4",2480,"44,6",2548,"47,0",14327,herouville-saint-clair
1 enfant,1321,"24,9",1425,"25,6",1296,"23,9",14327,herouville-saint-clair
2 enfants,1053,"19,8",1025,"18,4",962,"17,7",14327,herouville-saint-clair
3 enfants,437,"8,2",436,"7,8",421,"7,8",14327,herouville-saint-clair
4 enfants ou plus,195,"3,7",196,"3,5",198,"3,7",14327,herouville-saint-clair
Ensemble,7151,"100,0",6460,"100,0",6172,"100,0",15014,aurillac
Aucun enfant,4022,"56,2",3846,"59,5",3552,"57,6",15014,aurillac
1 enfant,1677,"23,4",1412,"21,9",1391,"22,5",15014,aurillac
2 enfants,1126,"15,7",921,"14,3",835,"13,5",15014,aurillac
3 enfants,251,"3,5",227,"3,5",303,"4,9",15014,aurillac
4 enfants ou plus,76,"1,1",54,"0,8",91,"1,5",15014,aurillac
Ensemble,10023,"100,0",9849,"100,0",9205,"100,0",16015,angouleme
Aucun enfant,4920,"49,1",4662,"47,3",4615,"50,1",16015,angouleme
1 enfant,2585,"25,8",2650,"26,9",2304,"25,0",16015,angouleme
2 enfants,1602,"16,0",1627,"16,5",1524,"16,6",16015,angouleme
3 enfants,614,"6,1",606,"6,2",524,"5,7",16015,angouleme
4 enfants ou plus,302,"3,0",304,"3,1",238,"2,6",16015,angouleme
Ensemble,6848,"100,0",6129,"100,0",5943,"100,0",17299,rochefort
Aucun enfant,3551,"51,9",3145,"51,3",3362,"56,6",17299,rochefort
1 enfant,1664,"24,3",1465,"23,9",1300,"21,9",17299,rochefort
2 enfants,1155,"16,9",1042,"17,0",925,"15,6",17299,rochefort
3 enfants,355,"5,2",361,"5,9",258,"4,3",17299,rochefort
4 enfants ou plus,123,"1,8",116,"1,9",98,"1,6",17299,rochefort
Ensemble,18587,"100,0",17898,"100,0",18965,"100,0",17300,la-rochelle
Aucun enfant,10005,"53,8",9712,"54,3",10261,"54,1",17300,la-rochelle
1 enfant,4368,"23,5",4056,"22,7",4346,"22,9",17300,la-rochelle
2 enfants,2914,"15,7",2925,"16,3",3031,"16,0",17300,la-rochelle
3 enfants,937,"5,0",885,"4,9",1042,"5,5",17300,la-rochelle
4 enfants ou plus,363,"2,0",320,"1,8",285,"1,5",17300,la-rochelle
Ensemble,6884,"100,0",6525,"100,0",6552,"100,0",17415,saintes
Aucun enfant,3999,"58,1",3747,"57,4",3803,"58,0",17415,saintes
1 enfant,1424,"20,7",1514,"23,2",1413,"21,6",17415,saintes
2 enfants,1036,"15,1",927,"14,2",948,"14,5",17415,saintes
3 enfants,329,"4,8",227,"3,5",306,"4,7",17415,saintes
4 enfants ou plus,96,"1,4",111,"1,7",83,"1,3",17415,saintes
Ensemble,17010,"100,0",16778,"100,0",16014,"100,0",18033,bourges
Aucun enfant,9013,"53,0",8756,"52,2",8386,"52,4",18033,bourges
1 enfant,3883,"22,8",3733,"22,3",3603,"22,5",18033,bourges
2 enfants,2654,"15,6",2742,"16,3",2497,"15,6",18033,bourges
3 enfants,992,"5,8",1110,"6,6",1023,"6,4",18033,bourges
4 enfants ou plus,469,"2,8",437,"2,6",505,"3,2",18033,bourges
Ensemble,7577,"100,0",7376,"100,0",6675,"100,0",18279,vierzon
Aucun enfant,4353,"57,5",4095,"55,5",3750,"56,2",18279,vierzon
1 enfant,1541,"20,3",1512,"20,5",1215,"18,2",18279,vierzon
2 enfants,1096,"14,5",1091,"14,8",960,"14,4",18279,vierzon
3 enfants,439,"5,8",468,"6,3",549,"8,2",18279,vierzon
4 enfants ou plus,147,"1,9",211,"2,9",201,"3,0",18279,vierzon
Ensemble,13151,"100,0",12355,"100,0",12032,"100,0",19031,brive-la-gaillarde
Aucun enfant,7409,"56,3",6706,"54,3",6674,"55,5",19031,brive-la-gaillarde
1 enfant,2874,"21,9",2646,"21,4",2623,"21,8",19031,brive-la-gaillarde
2 enfants,1978,"15,0",1945,"15,7",1793,"14,9",19031,brive-la-gaillarde
3 enfants,647,"4,9",810,"6,6",704,"5,9",19031,brive-la-gaillarde
4 enfants ou plus,243,"1,8",248,"2,0",237,"2,0",19031,brive-la-gaillarde
Ensemble,6148,"100,0",5824,"100,0",5464,"100,0",21054,beaune
Aucun enfant,3201,"52,1",3068,"52,7",2998,"54,9",21054,beaune
1 enfant,1434,"23,3",1281,"22,0",1174,"21,5",21054,beaune
2 enfants,1067,"17,4",1008,"17,3",891,"16,3",21054,beaune
3 enfants,334,"5,4",339,"5,8",304,"5,6",21054,beaune
4 enfants ou plus,111,"1,8",127,"2,2",97,"1,8",21054,beaune
Ensemble,35583,"100,0",35750,"100,0",35833,"100,0",21231,dijon
Aucun enfant,18726,"52,6",18396,"51,5",18595,"51,9",21231,dijon
1 enfant,8767,"24,6",8630,"24,1",8372,"23,4",21231,dijon
2 enfants,5747,"16,2",5958,"16,7",5957,"16,6",21231,dijon
3 enfants,1730,"4,9",1979,"5,5",2090,"5,8",21231,dijon
4 enfants ou plus,613,"1,7",787,"2,2",819,"2,3",21231,dijon
Ensemble,5160,"100,0",5047,"100,0",5145,"100,0",22113,lannion
Aucun enfant,2623,"50,8",2714,"53,8",2800,"54,4",22113,lannion
