0,1,2,code_insee,Ville
Nombre moyen d'habitant(s) par logement,"1,3","1,8",35288,saint-malo
Nombre moyen d'habitant(s) par logement,"1,6","1,8",36044,chateauroux
Nombre moyen d'habitant(s) par logement,"2,0","1,8",37122,joue-les-tours
Nombre moyen d'habitant(s) par logement,"1,5","1,8",37261,tours
Nombre moyen d'habitant(s) par logement,"2,0","1,8",38053,bourgoin-jallieu
Nombre moyen d'habitant(s) par logement,"2,1","1,8",38151,echirolles
Nombre moyen d'habitant(s) par logement,"1,9","1,8",38169,fontaine
Nombre moyen d'habitant(s) par logement,"1,6","1,8",38185,grenoble
Nombre moyen d'habitant(s) par logement,"2,1","1,8",38421,saint-martin-d-heres
Nombre moyen d'habitant(s) par logement,"1,9","1,8",38544,vienne
Nombre moyen d'habitant(s) par logement,"1,7","1,8",38563,voiron
Nombre moyen d'habitant(s) par logement,"1,7","1,8",39198,dole
Nombre moyen d'habitant(s) par logement,"1,3","1,8",40088,dax
Nombre moyen d'habitant(s) par logement,"1,8","1,8",40192,mont-de-marsan
Nombre moyen d'habitant(s) par logement,"1,7","1,8",41018,blois
Nombre moyen d'habitant(s) par logement,"1,5","1,8",42187,roanne
Nombre moyen d'habitant(s) par logement,"2,0","1,8",42207,saint-chamond
Nombre moyen d'habitant(s) par logement,"1,7","1,8",42218,saint-etienne
Nombre moyen d'habitant(s) par logement,"2,3","1,8",44020,bouguenais
Nombre moyen d'habitant(s) par logement,"2,0","1,8",44026,carquefou
Nombre moyen d'habitant(s) par logement,"2,3","1,8",44035,la-chapelle-sur-erdre
Nombre moyen d'habitant(s) par logement,"2,3","1,8",44047,coueron
Nombre moyen d'habitant(s) par logement,"1,7","1,8",44109,nantes
Nombre moyen d'habitant(s) par logement,"2,2","1,8",44114,orvault
Nombre moyen d'habitant(s) par logement,"2,0","1,8",44143,reze
Nombre moyen d'habitant(s) par logement,"2,0","1,8",44162,saint-herblain
Nombre moyen d'habitant(s) par logement,"1,7","1,8",44184,saint-nazaire
Nombre moyen d'habitant(s) par logement,"1,9","1,8",44190,saint-sebastien-sur-loire
Nombre moyen d'habitant(s) par logement,"2,2","1,8",44215,vertou
Nombre moyen d'habitant(s) par logement,"2,1","1,8",45147,fleury-les-aubrais
Nombre moyen d'habitant(s) par logement,"1,9","1,8",45232,olivet
Nombre moyen d'habitant(s) par logement,"1,7","1,8",45234,orleans
Nombre moyen d'habitant(s) par logement,"2,1","1,8",45284,saint-jean-de-braye
Nombre moyen d'habitant(s) par logement,"1,5","1,8",46042,cahors
Nombre moyen d'habitant(s) par logement,"1,5","1,8",47001,agen
Nombre moyen d'habitant(s) par logement,"1,6","1,8",47323,villeneuve-sur-lot
Nombre moyen d'habitant(s) par logement,"1,7","1,8",49007,angers
Nombre moyen d'habitant(s) par logement,"2,3","1,8",49023,beaupreau-en-mauges
Nombre moyen d'habitant(s) par logement,"2,3","1,8",49092,chemille-en-anjou
Nombre moyen d'habitant(s) par logement,"1,9","1,8",49099,cholet
Nombre moyen d'habitant(s) par logement,"2,4","1,8",49301,sevremoine
Nombre moyen d'habitant(s) par logement,"1,6","1,8",49328,saumur
Nombre moyen d'habitant(s) par logement,"1,8","1,8",50129,cherbourg-en-cotentin
Nombre moyen d'habitant(s) par logement,"1,8","1,8",51108,chalons-en-champagne
Nombre moyen d'habitant(s) par logement,"1,6","1,8",51230,epernay
