249396,253384,248712,252338,264115,271782,277270,291313,67482,strasbourg
59506,64771,62483,63498,65136,67615,70284,67730,68066,colmar
116336,117013,112157,108357,110359,109588,110370,106341,68224,mulhouse
14845,18007,18682,19547,19961,20127,20401,22698,68297,saint-louis
41619,44563,40638,39683,37369,38717,40694,43049,69029,bron
37603,43041,41931,41311,41233,41209,42292,43572,69034,caluire-et-cuire
19048,21968,20544,19777,18437,19118,19374,20654,69091,givors
527800,456716,413095,415487,445452,484344,513275,522250,69123,lyon
34634,37821,36636,35703,35146,35134,36685,37628,69149,oullins-pierre-benite
16583,21698,21521,21450,21193,21742,21978,21858,69202,sainte-foy-les-lyon
7128,13162,14353,18782,19221,20357,21342,20929,69204,saint-genis-laval
12983,14886,15001,15460,15977,19511,21793,22676,69244,tassin-la-demi-lune
20726,37866,44160,44174,39154,41421,47313,52139,69256,vaulx-en-velin
47613,74347,64804,60444,56061,59855,64273,66363,69259,venissieux
26338,30341,28881,29542,30647,35326,36671,35913,69264,villefranche-sur-saone
119879,116535,115960,116872,124215,145150,148665,156928,69266,villeurbanne
15297,20031,22832,24564,24193,25562,27362,29731,69275,decines-charpieu
10012,19435,26776,28077,28009,30272,32863,35882,69282,meyzieu
18152,30676,31560,30791,28367,29952,30375,31247,69286,rillieux-la-pape
20419,36734,42677,41876,40974,41964,45097,48822,69290,saint-priest
50589,58187,56194,54575,50124,44985,45390,45031,71076,chalon-sur-saone
34102,33366,32149,28909,26283,22783,21887,20731,71153,le-creusot
34227,39344,38404,37275,34469,34040,33236,34448,71270,macon
143246,152285,147697,145502,146105,142626,143325,145004,72181,le-mans
20627,22210,23451,24683,25732,27750,29822,31874,73008,aix-les-bains
51056,54415,53427,54120,55786,57342,59697,59856,73065,chambery
78266,96527,101087,107537,112379,118821,125694,131715,74010,annecy
17166,23384,26204,27669,27253,32196,35234,37918,74012,annemasse
20700,24454,24844,28401,28927,33925,34895,37027,74281,thonon-les-bains
2590771,2299830,2176243,2152423,2125246,2243833,2206488,2133111,75056,paris
39025,39466,35957,35894,34653,31963,29965,28358,76217,dieppe
25611,31963,31650,27658,26679,24930,25652,25975,76322,le-grand-quevilly
207150,217882,199388,195854,190905,175497,172366,166058,76351,le-havre
16031,19146,19736,19961,21265,19341,19209,20066,76451,mont-saint-aignan
22876,22401,22876,22600,22332,21898,22511,21782,76498,le-petit-quevilly
120471,114834,101945,102723,106592,110933,110169,114083,76540,rouen
34713,37242,32444,30731,29092,28102,28468,28508,76575,saint-etienne-du-rouvray
34495,31659,30558,29544,29553,28835,29009,28965,76681,sotteville-les-rouen
462,441,456,1545,9194,23341,26346,26571,77058,bussy-saint-georges
4446,5095,16739,21611,24553,24418,25052,25695,77083,champs-sur-marne
33281,36516,41838,45365,45399,52779,53833,54309,77108,chelles
6192,11093,13759,19973,20953,21554,22154,22240,77122,combs-la-ville
12057,19741,19794,21148,20659,20722,21712,22845,77152,dammarie-les-lys
15743,16465,17959,18643,19368,20236,21488,21191,77243,lagny-sur-marne
30214,42243,45005,48305,49421,50755,53720,55616,77284,meaux
