"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"510","Hauteur de pluie","221","180","205","230","77243","lagny-sur-marne"
"511","Heures d'ensoleillement","","","","","77284","meaux"
"512","Hauteur de pluie","221","180","205","230","77284","meaux"
"513","Heures d'ensoleillement","","50","59","18","77285","le-mee-sur-seine"
"514","Hauteur de pluie","176","232","295","233","77285","le-mee-sur-seine"
"515","Heures d'ensoleillement","","50","59","18","77288","melun"
"516","Hauteur de pluie","176","232","295","233","77288","melun"
"517","Heures d'ensoleillement","","","","","77294","mitry-mory"
"518","Hauteur de pluie","221","180","205","230","77294","mitry-mory"
"519","Heures d'ensoleillement","","50","59","18","77305","montereau-fault-yonne"
