"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"520","Hauteur de pluie","176","232","295","233","77305","montereau-fault-yonne"
"521","Heures d'ensoleillement","","50","59","18","77350","ozoir-la-ferriere"
"522","Hauteur de pluie","176","232","295","233","77350","ozoir-la-ferriere"
"523","Heures d'ensoleillement","23","50","59","18","77373","pontault-combault"
"524","Hauteur de pluie","205","177","248","183","77373","pontault-combault"
"525","Heures d'ensoleillement","","50","59","18","77390","roissy-en-brie"
"526","Hauteur de pluie","176","232","295","233","77390","roissy-en-brie"
"527","Heures d'ensoleillement","","50","59","18","77445","savigny-le-temple"
"528","Hauteur de pluie","176","232","295","233","77445","savigny-le-temple"
"529","Heures d'ensoleillement","","","","","77468","torcy"
"530","Hauteur de pluie","221","180","205","230","77468","torcy"
"531","Heures d'ensoleillement","","","","","77514","villeparisis"
"532","Hauteur de pluie","221","180","205","230","77514","villeparisis"
"533","Heures d'ensoleillement","","","","","78005","acheres"
"534","Hauteur de pluie","199","240","208","255","78005","acheres"
"535","Heures d'ensoleillement","","","","","78126","la-celle-saint-cloud"
"536","Hauteur de pluie","199","240","208","255","78126","la-celle-saint-cloud"
"537","Heures d'ensoleillement","","","","","78146","chatou"
"538","Hauteur de pluie","199","240","208","255","78146","chatou"
"539","Heures d'ensoleillement","","","","","78158","le-chesnay-rocquencourt"
"540","Hauteur de pluie","199","240","208","255","78158","le-chesnay-rocquencourt"
"541","Heures d'ensoleillement","","","","","78172","conflans-sainte-honorine"
"542","Hauteur de pluie","221","180","205","230","78172","conflans-sainte-honorine"
"543","Heures d'ensoleillement","","","","","78208","elancourt"
"544","Hauteur de pluie","199","240","208","255","78208","elancourt"
"545","Heures d'ensoleillement","","","","","78297","guyancourt"
"546","Hauteur de pluie","199","240","208","255","78297","guyancourt"
"547","Heures d'ensoleillement","25","50","56","18","78311","houilles"
"548","Hauteur de pluie","222","194","246","240","78311","houilles"
"549","Heures d'ensoleillement","25","50","56","18","78358","maisons-laffitte"
"550","Hauteur de pluie","222","194","246","240","78358","maisons-laffitte"
"551","Heures d'ensoleillement","","","","","78361","mantes-la-jolie"
"552","Hauteur de pluie","201","190","213","175","78361","mantes-la-jolie"
"553","Heures d'ensoleillement","","","","","78362","mantes-la-ville"
"554","Hauteur de pluie","201","190","213","175","78362","mantes-la-ville"
"555","Heures d'ensoleillement","","","","","78423","montigny-le-bretonneux"
"556","Hauteur de pluie","199","240","208","255","78423","montigny-le-bretonneux"
"557","Heures d'ensoleillement","","","","","78440","les-mureaux"
"558","Hauteur de pluie","199","240","208","255","78440","les-mureaux"
"559","Heures d'ensoleillement","","","","","78490","plaisir"
"560","Hauteur de pluie","199","240","208","255","78490","plaisir"
"561","Heures d'ensoleillement","","","","","78498","poissy"
"562","Hauteur de pluie","199","240","208","255","78498","poissy"
"563","Heures d'ensoleillement","","","","","78517","rambouillet"
"564","Hauteur de pluie","199","240","208","255","78517","rambouillet"
"565","Heures d'ensoleillement","","","","","78545","saint-cyr-l-ecole"
"566","Hauteur de pluie","199","240","208","255","78545","saint-cyr-l-ecole"
"567","Heures d'ensoleillement","","","","","78551","saint-germain-en-laye"
"568","Hauteur de pluie","199","240","208","255","78551","saint-germain-en-laye"
"569","Heures d'ensoleillement","25","50","56","18","78586","sartrouville"
"570","Hauteur de pluie","222","194","246","240","78586","sartrouville"
"571","Heures d'ensoleillement","","","","","78621","trappes"
"572","Hauteur de pluie","199","240","208","255","78621","trappes"
"573","Heures d'ensoleillement","","","","","78640","velizy-villacoublay"
"574","Hauteur de pluie","199","240","208","255","78640","velizy-villacoublay"
"575","Heures d'ensoleillement","","","","","78646","versailles"
"576","Hauteur de pluie","199","240","208","255","78646","versailles"
"577","Heures d'ensoleillement","","59","65","25","79191","niort"
"578","Hauteur de pluie","313","278","113","218","79191","niort"
"579","Heures d'ensoleillement","","","","","80001","abbeville"
"580","Hauteur de pluie","238","159","217","196","80001","abbeville"
"581","Heures d'ensoleillement","","","","","80021","amiens"
"582","Hauteur de pluie","238","159","217","196","80021","amiens"
"583","Heures d'ensoleillement","33","59","76","38","81004","albi"
"584","Hauteur de pluie","175","272","183","193","81004","albi"
"585","Heures d'ensoleillement","33","59","76","38","81065","castres"
"586","Hauteur de pluie","175","272","183","193","81065","castres"
"587","Heures d'ensoleillement","32","54","63","32","82121","montauban"
"588","Hauteur de pluie","253","231","254","283","82121","montauban"
"589","Heures d'ensoleillement","","81","93","49","83050","draguignan"
"590","Hauteur de pluie","404","73","113","472","83050","draguignan"
"591","Heures d'ensoleillement","","","","","83061","frejus"
"592","Hauteur de pluie","487","98","257","226","83061","frejus"
"593","Heures d'ensoleillement","","","","","83062","la-garde"
"594","Hauteur de pluie","303","74","70","165","83062","la-garde"
"595","Heures d'ensoleillement","","","","","83069","hyeres"
"596","Hauteur de pluie","303","74","70","165","83069","hyeres"
"597","Heures d'ensoleillement","","","","","83118","saint-raphael"
"598","Hauteur de pluie","487","98","257","226","83118","saint-raphael"
"599","Heures d'ensoleillement","","","","","83126","la-seyne-sur-mer"
"600","Hauteur de pluie","303","74","70","165","83126","la-seyne-sur-mer"
"601","Heures d'ensoleillement","","","","","83129","six-fours-les-plages"
"602","Hauteur de pluie","303","74","70","165","83129","six-fours-les-plages"
"603","Heures d'ensoleillement","","","","","83137","toulon"
"604","Hauteur de pluie","303","74","70","165","83137","toulon"
"605","Heures d'ensoleillement","","","","","83144","la-valette-du-var"
"606","Hauteur de pluie","303","74","70","165","83144","la-valette-du-var"
"607","Heures d'ensoleillement","","","","","84007","avignon"
"608","Hauteur de pluie","248","130","151","105","84007","avignon"
"609","Heures d'ensoleillement","","","","","84031","carpentras"
"610","Hauteur de pluie","248","130","151","105","84031","carpentras"
"611","Heures d'ensoleillement","","","","","84035","cavaillon"
"612","Hauteur de pluie","263","87","119","114","84035","cavaillon"
"613","Heures d'ensoleillement","","","","","84087","orange"
"614","Hauteur de pluie","248","130","151","105","84087","orange"
"615","Heures d'ensoleillement","","","","","84089","pertuis"
"616","Hauteur de pluie","263","87","119","114","84089","pertuis"
"617","Heures d'ensoleillement","","","","","85047","challans"
"618","Hauteur de pluie","260","315","237","208","85047","challans"
"619","Heures d'ensoleillement","23","48","65","19","85146","montaigu-vendee"
"620","Hauteur de pluie","319","335","284","232","85146","montaigu-vendee"
"621","Heures d'ensoleillement","23","48","65","19","85191","la-roche-sur-yon"
"622","Hauteur de pluie","319","335","284","232","85191","la-roche-sur-yon"
"623","Heures d'ensoleillement","23","48","65","19","85194","les-sables-d-olonne"
"624","Hauteur de pluie","319","335","284","232","85194","les-sables-d-olonne"
"625","Heures d'ensoleillement","25","57","66","20","86066","chatellerault"
"626","Hauteur de pluie","234","266","99","207","86066","chatellerault"
"627","Heures d'ensoleillement","25","57","66","20","86194","poitiers"
"628","Hauteur de pluie","234","266","99","207","86194","poitiers"
"629","Heures d'ensoleillement","25","46","60","36","87085","limoges"
"630","Hauteur de pluie","325","362","254","266","87085","limoges"
"631","Heures d'ensoleillement","22","47","65","21","88160","epinal"
"632","Hauteur de pluie","260","337","338","246","88160","epinal"
"633","Heures d'ensoleillement","24","51","65","18","89024","auxerre"
"634","Hauteur de pluie","233","305","208","164","89024","auxerre"
"635","Heures d'ensoleillement","24","51","65","18","89387","sens"
"636","Hauteur de pluie","233","305","208","164","89387","sens"
"637","Heures d'ensoleillement","","","","","90010","belfort"
"638","Hauteur de pluie","235","348","326","305","90010","belfort"
"639","Heures d'ensoleillement","23","50","59","18","91027","athis-mons"
"640","Hauteur de pluie","205","177","248","183","91027","athis-mons"
"641","Heures d'ensoleillement","23","50","59","18","91103","bretigny-sur-orge"
"642","Hauteur de pluie","205","177","248","183","91103","bretigny-sur-orge"
"643","Heures d'ensoleillement","23","50","59","18","91114","brunoy"
"644","Hauteur de pluie","205","177","248","183","91114","brunoy"
"645","Heures d'ensoleillement","23","50","59","18","91174","corbeil-essonnes"
"646","Hauteur de pluie","205","177","248","183","91174","corbeil-essonnes"
"647","Heures d'ensoleillement","23","50","59","18","91201","draveil"
"648","Hauteur de pluie","205","177","248","183","91201","draveil"
"649","Heures d'ensoleillement","23","50","59","18","91223","etampes"
"650","Hauteur de pluie","205","177","248","183","91223","etampes"
"651","Heures d'ensoleillement","23","50","59","18","91228","evry-courcouronnes"
"652","Hauteur de pluie","205","177","248","183","91228","evry-courcouronnes"
"653","Heures d'ensoleillement","","","","","91272","gif-sur-yvette"
"654","Hauteur de pluie","199","240","208","255","91272","gif-sur-yvette"
"655","Heures d'ensoleillement","23","50","59","18","91286","grigny"
