"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"88","Couples sans enfant","3 970","28,2","3 928","28,2","4 027","26,2","06123","saint-laurent-du-var"
"89","Couples avec enfant(s)","3 383","24,0","3 128","22,5","3 315","21,5","06123","saint-laurent-du-var"
"90","Familles monoparentales","1 363","9,7","1 374","9,9","1 706","11,1","06123","saint-laurent-du-var"
"91","Ménages d'une personne","4 123","33,4","4 288","35,9","5 458","40,4","06155","vallauris"
"92","Autres ménages sans famille","333","2,7","255","2,1","203","1,5","06155","vallauris"
"93","Couples sans enfant","3 588","29,0","3 529","29,5","3 631","26,9","06155","vallauris"
"94","Couples avec enfant(s)","3 319","26,9","2 839","23,7","2 981","22,1","06155","vallauris"
"95","Familles monoparentales","991","8,0","1 045","8,7","1 232","9,1","06155","vallauris"
"96","Ménages d'une personne","10 143","43,2","10 557","45,8","10 690","47,3","08105","charleville-mezieres"
"97","Autres ménages sans famille","372","1,6","443","1,9","352","1,6","08105","charleville-mezieres"
"98","Couples sans enfant","5 528","23,6","5 017","21,7","4 637","20,5","08105","charleville-mezieres"
"99","Couples avec enfant(s)","4 706","20,1","4 316","18,7","4 086","18,1","08105","charleville-mezieres"
"100","Familles monoparentales","2 723","11,6","2 733","11,9","2 851","12,6","08105","charleville-mezieres"
"101","Ménages d'une personne","14 727","48,9","16 807","52,4","18 587","55,5","10387","troyes"
"102","Autres ménages sans famille","698","2,3","894","2,8","525","1,6","10387","troyes"
"103","Couples sans enfant","6 043","20,1","5 974","18,6","5 457","16,3","10387","troyes"
"104","Couples avec enfant(s)","5 080","16,9","4 551","14,2","4 580","13,7","10387","troyes"
"105","Familles monoparentales","3 557","11,8","3 820","11,9","4 322","12,9","10387","troyes"
"106","Ménages d'une personne","9 175","41,6","9 795","44,0","10 942","46,7","11069","carcassonne"
"107","Autres ménages sans famille","520","2,4","516","2,3","299","1,3","11069","carcassonne"
"108","Couples sans enfant","5 306","24,0","5 280","23,7","5 731","24,5","11069","carcassonne"
"109","Couples avec enfant(s)","4 639","21,0","4 163","18,7","3 728","15,9","11069","carcassonne"
"110","Familles monoparentales","2 425","11,0","2 524","11,3","2 738","11,7","11069","carcassonne"
"111","Ménages d'une personne","9 995","40,7","11 135","42,2","13 981","47,6","11262","narbonne"
"112","Autres ménages sans famille","577","2,4","616","2,3","419","1,4","11262","narbonne"
"113","Couples sans enfant","6 663","27,2","6 815","25,9","6 870","23,4","11262","narbonne"
"114","Couples avec enfant(s)","4 726","19,3","4 816","18,3","4 492","15,3","11262","narbonne"
"115","Familles monoparentales","2 577","10,5","2 977","11,3","3 594","12,2","11262","narbonne"
"116","Ménages d'une personne","4 237","40,0","4 254","40,0","4 536","42,0","12145","millau"
"117","Autres ménages sans famille","227","2,1","244","2,3","121","1,1","12145","millau"
"118","Couples sans enfant","3 177","30,0","3 025","28,4","3 126","29,0","12145","millau"
"119","Couples avec enfant(s)","2 114","19,9","2 228","20,9","2 003","18,6","12145","millau"
"120","Familles monoparentales","846","8,0","895","8,4","1 005","9,3","12145","millau"
"121","Ménages d'une personne","6 435","50,7","7 085","54,1","8 122","59,1","12202","rodez"
"122","Autres ménages sans famille","290","2,3","337","2,6","188","1,4","12202","rodez"
"123","Couples sans enfant","3 090","24,4","2 915","22,3","2 919","21,2","12202","rodez"
"124","Couples avec enfant(s)","1 928","15,2","1 762","13,5","1 547","11,2","12202","rodez"
"125","Familles monoparentales","944","7,4","987","7,5","976","7,1","12202","rodez"
"126","Ménages d'une personne","30 920","45,1","32 475","46,5","37 275","50,0","13001","aix-en-provence"
"127","Autres ménages sans famille","3 054","4,5","2 759","3,9","2 026","2,7","13001","aix-en-provence"
"128","Couples sans enfant","15 513","22,6","15 722","22,5","15 762","21,1","13001","aix-en-provence"
"129","Couples avec enfant(s)","13 115","19,1","12 443","17,8","12 951","17,4","13001","aix-en-provence"
"130","Familles monoparentales","5 954","8,7","6 487","9,3","6 581","8,8","13001","aix-en-provence"
"131","Ménages d'une personne","1 646","21,8","2 053","23,9","2 267","25,6","13002","allauch"
"132","Autres ménages sans famille","178","2,4","173","2,0","106","1,2","13002","allauch"
"133","Couples sans enfant","2 236","29,7","2 763","32,1","2 822","31,9","13002","allauch"
"134","Couples avec enfant(s)","2 855","37,9","2 892","33,6","2 760","31,2","13002","allauch"
"135","Familles monoparentales","617","8,2","715","8,3","888","10,0","13002","allauch"
"136","Ménages d'une personne","8 552","36,2","9 272","38,0","9 172","39,4","13004","arles"
"137","Autres ménages sans famille","672","2,8","670","2,7","407","1,7","13004","arles"
"138","Couples sans enfant","6 033","25,5","6 358","26,0","6 073","26,1","13004","arles"
"139","Couples avec enfant(s)","5 861","24,8","5 479","22,4","5 130","22,0","13004","arles"
"140","Familles monoparentales","2 503","10,6","2 649","10,8","2 521","10,8","13004","arles"
"141","Ménages d'une personne","5 962","31,2","5 996","31,7","7 733","37,2","13005","aubagne"
"142","Autres ménages sans famille","541","2,8","599","3,2","224","1,1","13005","aubagne"
"143","Couples sans enfant","4 638","24,3","4 731","25,0","4 700","22,6","13005","aubagne"
"144","Couples avec enfant(s)","5 510","28,9","5 142","27,2","5 254","25,3","13005","aubagne"
"145","Familles monoparentales","2 427","12,7","2 453","13,0","2 869","13,8","13005","aubagne"
"146","Ménages d'une personne","5 616","35,8","6 633","39,1","8 073","43,6","13028","la-ciotat"
"147","Autres ménages sans famille","452","2,9","405","2,4","194","1,0","13028","la-ciotat"
"148","Couples sans enfant","4 424","28,2","4 498","26,5","4 602","24,9","13028","la-ciotat"
"149","Couples avec enfant(s)","3 410","21,8","3 572","21,0","3 411","18,4","13028","la-ciotat"
"150","Familles monoparentales","1 769","11,3","1 873","11,0","2 236","12,1","13028","la-ciotat"
"151","Ménages d'une personne","2 412","28,4","2 741","32,3","3 405","36,2","13041","gardanne"
"152","Autres ménages sans famille","253","3,0","205","2,4","186","2,0","13041","gardanne"
"153","Couples sans enfant","2 165","25,5","2 121","25,0","2 211","23,5","13041","gardanne"
"154","Couples avec enfant(s)","2 664","31,4","2 333","27,5","2 477","26,3","13041","gardanne"
"155","Familles monoparentales","987","11,6","1 082","12,8","1 124","12,0","13041","gardanne"
"156","Ménages d'une personne","4 818","27,9","5 179","28,9","6 978","34,8","13047","istres"
"157","Autres ménages sans famille","267","1,5","315","1,8","143","0,7","13047","istres"
"158","Couples sans enfant","4 862","28,2","5 036","28,1","5 463","27,2","13047","istres"
"159","Couples avec enfant(s)","5 417","31,4","5 121","28,6","4 982","24,8","13047","istres"
"160","Familles monoparentales","1 908","11,0","2 248","12,6","2 513","12,5","13047","istres"
"161","Ménages d'une personne","4 106","29,0","3 855","28,0","5 225","35,8","13054","marignane"
"162","Autres ménages sans famille","368","2,6","324","2,4","199","1,4","13054","marignane"
"163","Couples sans enfant","3 705","26,2","3 545","25,8","3 508","24,0","13054","marignane"
"164","Couples avec enfant(s)","4 484","31,7","4 376","31,8","4 082","27,9","13054","marignane"
"165","Familles monoparentales","1 492","10,5","1 660","12,1","1 590","10,9","13054","marignane"
"166","Ménages d'une personne","149 936","39,5","159 910","41,0","182 995","44,4","13055","marseille"
"167","Autres ménages sans famille","13 517","3,6","13 515","3,5","9 192","2,2","13055","marseille"
"168","Couples sans enfant","79 298","20,9","78 673","20,2","79 619","19,3","13055","marseille"
"169","Couples avec enfant(s)","87 951","23,2","87 353","22,4","85 968","20,8","13055","marseille"
"170","Familles monoparentales","48 433","12,8","50 355","12,9","54 791","13,3","13055","marseille"
"171","Ménages d'une personne","6 645","32,4","7 641","34,6","8 514","37,9","13056","martigues"
"172","Autres ménages sans famille","460","2,2","565","2,6","251","1,1","13056","martigues"
"173","Couples sans enfant","5 525","26,9","5 827","26,4","5 645","25,2","13056","martigues"
"174","Couples avec enfant(s)","5 729","27,9","5 594","25,3","5 047","22,5","13056","martigues"
"175","Familles monoparentales","2 182","10,6","2 481","11,2","2 978","13,3","13056","martigues"
"176","Ménages d'une personne","2 700","27,2","3 319","31,5","3 864","34,6","13063","miramas"
"177","Autres ménages sans famille","184","1,9","264","2,5","136","1,2","13063","miramas"
"178","Couples sans enfant","2 714","27,4","2 678","25,4","2 741","24,5","13063","miramas"
"179","Couples avec enfant(s)","3 245","32,7","3 119","29,6","3 093","27,7","13063","miramas"
"180","Familles monoparentales","1 073","10,8","1 151","10,9","1 344","12,0","13063","miramas"
"181","Ménages d'une personne","1 666","21,6","2 064","23,6","2 352","25,0","13071","les-pennes-mirabeau"
"182","Autres ménages sans famille","187","2,4","177","2,0","108","1,2","13071","les-pennes-mirabeau"
"183","Couples sans enfant","2 509","32,6","2 781","31,8","2 797","29,8","13071","les-pennes-mirabeau"
"184","Couples avec enfant(s)","2 622","34,0","2 858","32,7","2 883","30,7","13071","les-pennes-mirabeau"
"185","Familles monoparentales","724","9,4","861","9,8","1 248","13,3","13071","les-pennes-mirabeau"
"186","Ménages d'une personne","6 175","34,2","6 864","35,7","8 136","40,1","13103","salon-de-provence"
"187","Autres ménages sans famille","401","2,2","423","2,2","190","0,9","13103","salon-de-provence"
"188","Couples sans enfant","4 612","25,5","4 818","25,0","4 920","24,2","13103","salon-de-provence"
