"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"1140","Familles monoparentales","1 258","12,2","1 364","11,9","1 546","12,3","69275","decines-charpieu"
"1141","Ménages d'une personne","2 378","21,3","3 074","24,8","4 441","30,8","69282","meyzieu"
"1142","Autres ménages sans famille","173","1,6","197","1,6","111","0,8","69282","meyzieu"
"1143","Couples sans enfant","3 270","29,3","3 373","27,2","3 543","24,6","69282","meyzieu"
"1144","Couples avec enfant(s)","4 179","37,5","4 541","36,6","4 679","32,4","69282","meyzieu"
"1145","Familles monoparentales","1 153","10,3","1 222","9,8","1 647","11,4","69282","meyzieu"
"1146","Ménages d'une personne","3 438","29,6","3 540","30,1","3 872","31,5","69286","rillieux-la-pape"
"1147","Autres ménages sans famille","233","2,0","200","1,7","119","1,0","69286","rillieux-la-pape"
"1148","Couples sans enfant","2 594","22,3","2 609","22,2","2 440","19,9","69286","rillieux-la-pape"
"1149","Couples avec enfant(s)","3 864","33,3","3 741","31,8","3 944","32,1","69286","rillieux-la-pape"
"1150","Familles monoparentales","1 490","12,8","1 672","14,2","1 909","15,5","69286","rillieux-la-pape"
"1151","Ménages d'une personne","4 509","27,5","5 665","31,2","7 426","36,4","69290","saint-priest"
"1152","Autres ménages sans famille","354","2,2","352","1,9","326","1,6","69290","saint-priest"
"1153","Couples sans enfant","4 217","25,7","4 287","23,6","4 382","21,5","69290","saint-priest"
"1154","Couples avec enfant(s)","5 594","34,1","5 951","32,8","6 086","29,8","69290","saint-priest"
"1155","Familles monoparentales","1 724","10,5","1 891","10,4","2 181","10,7","69290","saint-priest"
"1156","Ménages d'une personne","11 724","50,3","12 359","51,9","13 709","55,7","71076","chalon-sur-saone"
"1157","Autres ménages sans famille","512","2,2","534","2,2","295","1,2","71076","chalon-sur-saone"
"1158","Couples sans enfant","5 010","21,5","4 825","20,2","4 926","20,0","71076","chalon-sur-saone"
"1159","Couples avec enfant(s)","3 749","16,1","3 560","14,9","3 116","12,7","71076","chalon-sur-saone"
"1160","Familles monoparentales","2 296","9,9","2 547","10,7","2 561","10,4","71076","chalon-sur-saone"
"1161","Ménages d'une personne","5 221","45,6","5 489","48,2","5 631","51,7","71153","le-creusot"
"1162","Autres ménages sans famille","252","2,2","213","1,9","121","1,1","71153","le-creusot"
"1163","Couples sans enfant","3 066","26,8","3 113","27,4","2 669","24,5","71153","le-creusot"
"1164","Couples avec enfant(s)","1 941","16,9","1 753","15,4","1 608","14,8","71153","le-creusot"
"1165","Familles monoparentales","976","8,5","808","7,1","853","7,8","71153","le-creusot"
"1166","Ménages d'une personne","6 996","43,5","7 677","47,4","8 399","49,7","71270","macon"
"1167","Autres ménages sans famille","395","2,5","293","1,8","220","1,3","71270","macon"
"1168","Couples sans enfant","3 837","23,8","3 556","21,9","3 403","20,2","71270","macon"
"1169","Couples avec enfant(s)","3 380","21,0","3 171","19,6","3 275","19,4","71270","macon"
"1170","Familles monoparentales","1 487","9,2","1 508","9,3","1 586","9,4","71270","macon"
"1171","Ménages d'une personne","32 523","45,9","33 343","46,7","35 512","48,4","72181","le-mans"
"1172","Autres ménages sans famille","1 461","2,1","1 580","2,2","1 255","1,7","72181","le-mans"
"1173","Couples sans enfant","17 538","24,8","16 652","23,3","15 903","21,7","72181","le-mans"
"1174","Couples avec enfant(s)","13 110","18,5","12 510","17,5","12 238","16,7","72181","le-mans"
"1175","Familles monoparentales","6 188","8,7","7 244","10,2","8 449","11,5","72181","le-mans"
"1176","Ménages d'une personne","5 962","43,7","7 074","46,5","8 234","48,9","73008","aix-les-bains"
"1177","Autres ménages sans famille","270","2,0","334","2,2","263","1,6","73008","aix-les-bains"
"1178","Couples sans enfant","3 522","25,8","3 797","25,0","4 017","23,9","73008","aix-les-bains"
"1179","Couples avec enfant(s)","2 726","20,0","2 768","18,2","2 846","16,9","73008","aix-les-bains"
"1180","Familles monoparentales","1 171","8,6","1 232","8,1","1 482","8,8","73008","aix-les-bains"
"1181","Ménages d'une personne","11 980","44,6","12 443","44,2","14 560","49,3","73065","chambery"
"1182","Autres ménages sans famille","1 176","4,4","992","3,5","809","2,7","73065","chambery"
"1183","Couples sans enfant","5 591","20,8","6 107","21,7","5 719","19,4","73065","chambery"
"1184","Couples avec enfant(s)","5 666","21,1","5 947","21,1","5 578","18,9","73065","chambery"
"1185","Familles monoparentales","2 477","9,2","2 661","9,5","2 879","9,7","73065","chambery"
"1186","Ménages d'une personne","23 512","41,6","25 396","42,2","29 832","45,2","74010","annecy"
"1187","Autres ménages sans famille","1 569","2,8","1 654","2,7","1 285","1,9","74010","annecy"
"1188","Couples sans enfant","14 401","25,5","14 601","24,3","15 416","23,3","74010","annecy"
"1189","Couples avec enfant(s)","12 316","21,8","13 003","21,6","13 386","20,3","74010","annecy"
"1190","Familles monoparentales","4 732","8,4","5 508","9,2","6 108","9,3","74010","annecy"
"1191","Ménages d'une personne","6 537","42,8","7 258","43,7","7 852","44,0","74012","annemasse"
"1192","Autres ménages sans famille","431","2,8","573","3,4","499","2,8","74012","annemasse"
"1193","Couples sans enfant","3 136","20,5","3 094","18,6","3 224","18,1","74012","annemasse"
"1194","Couples avec enfant(s)","3 612","23,7","3 819","23,0","4 211","23,6","74012","annemasse"
"1195","Familles monoparentales","1 552","10,2","1 856","11,2","2 065","11,6","74012","annemasse"
"1196","Ménages d'une personne","6 350","40,2","7 225","43,4","8 374","46,0","74281","thonon-les-bains"
"1197","Autres ménages sans famille","396","2,5","436","2,6","334","1,8","74281","thonon-les-bains"
"1198","Couples sans enfant","3 995","25,3","3 935","23,7","4 050","22,3","74281","thonon-les-bains"
"1199","Couples avec enfant(s)","3 575","22,6","3 543","21,3","3 688","20,3","74281","thonon-les-bains"
"1200","Familles monoparentales","1 468","9,3","1 499","9,0","1 757","9,7","74281","thonon-les-bains"
"1201","Ménages d'une personne","594 213","51,1","579 570","50,7","595 015","52,7","75056","paris"
"1202","Autres ménages sans famille","62 536","5,4","57 745","5,1","37 157","3,3","75056","paris"
"1203","Couples sans enfant","217 339","18,7","218 034","19,1","214 881","19,0","75056","paris"
"1204","Couples avec enfant(s)","199 036","17,1","194 972","17,1","184 787","16,4","75056","paris"
"1205","Familles monoparentales","90 010","7,7","92 382","8,1","96 447","8,5","75056","paris"
"1206","Ménages d'une personne","6 378","42,0","6 811","45,6","7 798","51,4","76217","dieppe"
"1207","Autres ménages sans famille","306","2,0","317","2,1","166","1,1","76217","dieppe"
"1208","Couples sans enfant","3 804","25,1","3 617","24,2","3 491","23,0","76217","dieppe"
"1209","Couples avec enfant(s)","3 089","20,4","2 604","17,4","2 065","13,6","76217","dieppe"
"1210","Familles monoparentales","1 594","10,5","1 581","10,6","1 654","10,9","76217","dieppe"
"1211","Ménages d'une personne","4 650","39,2","5 378","42,2","5 836","44,5","76322","le-grand-quevilly"
"1212","Autres ménages sans famille","152","1,3","181","1,4","187","1,4","76322","le-grand-quevilly"
"1213","Couples sans enfant","3 123","26,4","3 169","24,9","2 942","22,4","76322","le-grand-quevilly"
"1214","Couples avec enfant(s)","2 714","22,9","2 566","20,1","2 473","18,8","76322","le-grand-quevilly"
"1215","Familles monoparentales","1 214","10,2","1 450","11,4","1 684","12,8","76322","le-grand-quevilly"
"1216","Ménages d'une personne","33 665","41,5","34 731","42,8","39 474","47,8","76351","le-havre"
"1217","Autres ménages sans famille","1 642","2,0","1 667","2,1","1 238","1,5","76351","le-havre"
"1218","Couples sans enfant","18 780","23,1","17 784","21,9","16 859","20,4","76351","le-havre"
"1219","Couples avec enfant(s)","18 012","22,2","17 173","21,2","14 789","17,9","76351","le-havre"
"1220","Familles monoparentales","9 036","11,1","9 736","12,0","10 301","12,5","76351","le-havre"
"1221","Ménages d'une personne","3 844","43,9","4 533","48,0","4 971","49,5","76451","mont-saint-aignan"
"1222","Autres ménages sans famille","248","2,8","416","4,4","248","2,5","76451","mont-saint-aignan"
"1223","Couples sans enfant","2 210","25,3","2 199","23,3","2 262","22,5","76451","mont-saint-aignan"
"1224","Couples avec enfant(s)","1 764","20,2","1 588","16,8","1 760","17,5","76451","mont-saint-aignan"
"1225","Familles monoparentales","686","7,8","711","7,5","802","8,0","76451","mont-saint-aignan"
"1226","Ménages d'une personne","3 319","35,0","3 571","36,1","4 409","43,0","76498","le-petit-quevilly"
"1227","Autres ménages sans famille","235","2,5","216","2,2","184","1,8","76498","le-petit-quevilly"
"1228","Couples sans enfant","2 213","23,3","2 279","23,1","1 977","19,3","76498","le-petit-quevilly"
"1229","Couples avec enfant(s)","2 592","27,3","2 444","24,7","2 203","21,5","76498","le-petit-quevilly"
"1230","Familles monoparentales","1 128","11,9","1 373","13,9","1 472","14,4","76498","le-petit-quevilly"
"1231","Ménages d'une personne","33 104","54,7","34 549","56,4","39 420","59,7","76540","rouen"
"1232","Autres ménages sans famille","2 587","4,3","2 659","4,3","2 270","3,4","76540","rouen"
"1233","Couples sans enfant","11 540","19,1","10 821","17,7","11 003","16,7","76540","rouen"
"1234","Couples avec enfant(s)","8 388","13,9","7 975","13,0","7 562","11,5","76540","rouen"
"1235","Familles monoparentales","4 891","8,1","5 271","8,6","5 725","8,7","76540","rouen"
"1236","Ménages d'une personne","3 266","29,4","4 136","34,8","4 718","38,4","76575","saint-etienne-du-rouvray"
"1237","Autres ménages sans famille","366","3,3","402","3,4","275","2,2","76575","saint-etienne-du-rouvray"
"1238","Couples sans enfant","2 852","25,7","2 641","22,2","2 528","20,6","76575","saint-etienne-du-rouvray"
"1239","Couples avec enfant(s)","3 332","30,0","3 435","28,9","3 416","27,8","76575","saint-etienne-du-rouvray"
"1240","Familles monoparentales","1 290","11,6","1 265","10,7","1 350","11,0","76575","saint-etienne-du-rouvray"
"1241","Ménages d'une personne","5 079","38,0","5 121","38,5","5 875","43,1","76681","sotteville-les-rouen"
"1242","Autres ménages sans famille","258","1,9","274","2,1","187","1,4","76681","sotteville-les-rouen"
"1243","Couples sans enfant","3 533","26,4","3 271","24,6","2 748","20,2","76681","sotteville-les-rouen"
"1244","Couples avec enfant(s)","3 078","23,0","3 127","23,5","2 945","21,6","76681","sotteville-les-rouen"
"1245","Familles monoparentales","1 432","10,7","1 518","11,4","1 869","13,7","76681","sotteville-les-rouen"
"1246","Ménages d'une personne","2 137","25,0","2 977","29,0","3 767","34,1","77058","bussy-saint-georges"
"1247","Autres ménages sans famille","193","2,3","223","2,2","229","2,1","77058","bussy-saint-georges"
"1248","Couples sans enfant","1 613","18,9","1 978","19,3","2 173","19,7","77058","bussy-saint-georges"
"1249","Couples avec enfant(s)","3 756","43,9","3 965","38,6","3 511","31,8","77058","bussy-saint-georges"
"1250","Familles monoparentales","849","9,9","1 118","10,9","1 357","12,3","77058","bussy-saint-georges"
"1251","Ménages d'une personne","2 576","27,0","3 095","30,9","3 664","34,8","77083","champs-sur-marne"
"1252","Autres ménages sans famille","423","4,4","367","3,7","343","3,2","77083","champs-sur-marne"
"1253","Couples sans enfant","1 946","20,4","1 986","19,8","1 905","18,1","77083","champs-sur-marne"
"1254","Couples avec enfant(s)","3 228","33,8","3 224","32,2","3 073","29,1","77083","champs-sur-marne"
"1255","Familles monoparentales","1 379","14,4","1 352","13,5","1 557","14,8","77083","champs-sur-marne"
"1256","Ménages d'une personne","5 707","27,5","6 126","29,1","7 871","34,8","77108","chelles"
"1257","Autres ménages sans famille","522","2,5","486","2,3","342","1,5","77108","chelles"
"1258","Couples sans enfant","5 028","24,2","4 765","22,6","4 764","21,1","77108","chelles"
"1259","Couples avec enfant(s)","7 321","35,2","7 169","34,0","7 047","31,2","77108","chelles"
"1260","Familles monoparentales","2 190","10,5","2 509","11,9","2 584","11,4","77108","chelles"
"1261","Ménages d'une personne","1 963","24,0","2 215","26,0","3 054","33,0","77122","combs-la-ville"
"1262","Autres ménages sans famille","150","1,8","138","1,6","118","1,3","77122","combs-la-ville"
"1263","Couples sans enfant","2 128","26,0","2 134","25,0","2 219","24,0","77122","combs-la-ville"
"1264","Couples avec enfant(s)","3 016","36,9","3 103","36,4","2 778","30,1","77122","combs-la-ville"
"1265","Familles monoparentales","925","11,3","933","10,9","1 075","11,6","77122","combs-la-ville"
"1266","Ménages d'une personne","2 561","31,7","3 103","34,9","3 436","36,3","77152","dammarie-les-lys"
"1267","Autres ménages sans famille","195","2,4","164","1,8","164","1,7","77152","dammarie-les-lys"
"1268","Couples sans enfant","1 764","21,9","1 814","20,4","1 825","19,3","77152","dammarie-les-lys"
"1269","Couples avec enfant(s)","2 585","32,0","2 622","29,5","2 557","27,0","77152","dammarie-les-lys"
"1270","Familles monoparentales","964","11,9","1 191","13,4","1 476","15,6","77152","dammarie-les-lys"
"1271","Ménages d'une personne","3 062","35,1","3 167","34,5","3 905","39,7","77243","lagny-sur-marne"
"1272","Autres ménages sans famille","185","2,1","189","2,1","145","1,5","77243","lagny-sur-marne"
"1273","Couples sans enfant","2 025","23,2","1 992","21,7","2 139","21,7","77243","lagny-sur-marne"
"1274","Couples avec enfant(s)","2 535","29,1","2 725","29,7","2 349","23,9","77243","lagny-sur-marne"
"1275","Familles monoparentales","912","10,5","1 110","12,1","1 296","13,2","77243","lagny-sur-marne"
"1276","Ménages d'une personne","6 677","33,2","7 411","34,4","9 432","39,9","77284","meaux"
"1277","Autres ménages sans famille","580","2,9","660","3,1","369","1,6","77284","meaux"
"1278","Couples sans enfant","4 006","19,9","3 949","18,3","4 119","17,4","77284","meaux"
"1279","Couples avec enfant(s)","5 880","29,2","6 244","29,0","5 908","25,0","77284","meaux"
"1280","Familles monoparentales","2 964","14,7","3 264","15,2","3 807","16,1","77284","meaux"
"1281","Ménages d'une personne","2 165","27,9","2 212","28,6","2 922","36,6","77285","le-mee-sur-seine"
"1282","Autres ménages sans famille","207","2,7","155","2,0","96","1,2","77285","le-mee-sur-seine"
"1283","Couples sans enfant","1 558","20,1","1 413","18,2","1 335","16,7","77285","le-mee-sur-seine"
"1284","Couples avec enfant(s)","2 657","34,2","2 604","33,6","2 440","30,6","77285","le-mee-sur-seine"
"1285","Familles monoparentales","1 183","15,2","1 362","17,6","1 187","14,9","77285","le-mee-sur-seine"
"1286","Ménages d'une personne","7 249","41,7","7 168","41,4","7 534","41,1","77288","melun"
"1287","Autres ménages sans famille","742","4,3","515","3,0","396","2,2","77288","melun"
"1288","Couples sans enfant","3 255","18,7","3 204","18,5","2 894","15,8","77288","melun"
"1289","Couples avec enfant(s)","4 057","23,3","4 203","24,3","4 607","25,2","77288","melun"
"1290","Familles monoparentales","2 093","12,0","2 223","12,8","2 882","15,7","77288","melun"
"1291","Ménages d'une personne","1 601","23,7","1 833","25,4","2 030","26,9","77294","mitry-mory"
"1292","Autres ménages sans famille","154","2,3","140","1,9","77","1,0","77294","mitry-mory"
"1293","Couples sans enfant","1 523","22,5","1 465","20,3","1 451","19,2","77294","mitry-mory"
"1294","Couples avec enfant(s)","2 795","41,3","2 810","39,0","2 988","39,6","77294","mitry-mory"
"1295","Familles monoparentales","689","10,2","962","13,3","1 007","13,3","77294","mitry-mory"
"1296","Ménages d'une personne","2 525","37,8","2 606","34,8","2 649","32,4","77305","montereau-fault-yonne"
"1297","Autres ménages sans famille","127","1,9","156","2,1","133","1,6","77305","montereau-fault-yonne"
"1298","Couples sans enfant","1 251","18,7","1 499","20,0","1 416","17,3","77305","montereau-fault-yonne"
"1299","Couples avec enfant(s)","1 949","29,1","2 196","29,3","2 709","33,1","77305","montereau-fault-yonne"
"1300","Familles monoparentales","837","12,5","1 032","13,8","1 279","15,6","77305","montereau-fault-yonne"
"1301","Ménages d'une personne","1 603","21,4","1 682","22,1","2 324","27,7","77350","ozoir-la-ferriere"
"1302","Autres ménages sans famille","107","1,4","148","1,9","96","1,1","77350","ozoir-la-ferriere"
"1303","Couples sans enfant","1 961","26,2","2 123","27,9","2 224","26,5","77350","ozoir-la-ferriere"
"1304","Couples avec enfant(s)","3 090","41,2","2 858","37,5","2 745","32,8","77350","ozoir-la-ferriere"
"1305","Familles monoparentales","738","9,8","807","10,6","994","11,9","77350","ozoir-la-ferriere"
"1306","Ménages d'une personne","3 112","23,8","3 590","25,0","4 354","28,8","77373","pontault-combault"
"1307","Autres ménages sans famille","251","1,9","349","2,4","178","1,2","77373","pontault-combault"
"1308","Couples sans enfant","3 062","23,4","3 328","23,1","3 483","23,1","77373","pontault-combault"
"1309","Couples avec enfant(s)","5 345","40,8","5 503","38,3","5 222","34,6","77373","pontault-combault"
"1310","Familles monoparentales","1 318","10,1","1 613","11,2","1 862","12,3","77373","pontault-combault"
"1311","Ménages d'une personne","1 668","21,5","1 678","20,8","2 174","25,7","77390","roissy-en-brie"
"1312","Autres ménages sans famille","173","2,2","161","2,0","105","1,2","77390","roissy-en-brie"
"1313","Couples sans enfant","1 584","20,4","1 708","21,2","1 678","19,9","77390","roissy-en-brie"
"1314","Couples avec enfant(s)","3 296","42,5","3 408","42,3","3 289","38,9","77390","roissy-en-brie"
"1315","Familles monoparentales","1 028","13,3","1 109","13,8","1 201","14,2","77390","roissy-en-brie"
"1316","Ménages d'une personne","1 681","18,1","2 223","21,9","2 566","24,4","77445","savigny-le-temple"
"1317","Autres ménages sans famille","212","2,3","165","1,6","75","0,7","77445","savigny-le-temple"
"1318","Couples sans enfant","1 691","18,2","1 857","18,3","1 708","16,2","77445","savigny-le-temple"
"1319","Couples avec enfant(s)","4 590","49,5","4 466","44,0","4 327","41,2","77445","savigny-le-temple"
"1320","Familles monoparentales","1 102","11,9","1 430","14,1","1 833","17,4","77445","savigny-le-temple"
"1321","Ménages d'une personne","2 178","26,1","2 647","29,7","3 214","34,8","77468","torcy"
"1322","Autres ménages sans famille","259","3,1","286","3,2","163","1,8","77468","torcy"
"1323","Couples sans enfant","1 644","19,7","1 567","17,6","1 490","16,1","77468","torcy"
"1324","Couples avec enfant(s)","3 046","36,5","3 119","35,0","2 852","30,9","77468","torcy"
"1325","Familles monoparentales","1 229","14,7","1 284","14,4","1 517","16,4","77468","torcy"
"1326","Ménages d'une personne","2 725","28,8","2 695","27,3","3 310","31,4","77514","villeparisis"
"1327","Autres ménages sans famille","251","2,7","227","2,3","331","3,1","77514","villeparisis"
"1328","Couples sans enfant","2 293","24,3","2 103","21,3","1 977","18,8","77514","villeparisis"
"1329","Couples avec enfant(s)","3 344","35,4","3 726","37,8","3 621","34,4","77514","villeparisis"
"1330","Familles monoparentales","841","8,9","1 113","11,3","1 297","12,3","77514","villeparisis"
"1331","Ménages d'une personne","2 030","26,5","2 327","27,7","3 149","34,4","78005","acheres"
"1332","Autres ménages sans famille","199","2,6","221","2,6","136","1,5","78005","acheres"
"1333","Couples sans enfant","1 664","21,7","1 856","22,1","1 837","20,1","78005","acheres"
"1334","Couples avec enfant(s)","2 777","36,2","2 817","33,6","2 712","29,6","78005","acheres"
"1335","Familles monoparentales","994","13,0","1 175","14,0","1 319","14,4","78005","acheres"
"1336","Ménages d'une personne","2 602","30,3","2 576","30,3","2 809","32,9","78126","la-celle-saint-cloud"
"1337","Autres ménages sans famille","187","2,2","128","1,5","130","1,5","78126","la-celle-saint-cloud"
"1338","Couples sans enfant","2 010","23,4","1 906","22,4","1 748","20,5","78126","la-celle-saint-cloud"
"1339","Couples avec enfant(s)","2 856","33,3","2 875","33,8","2 700","31,6","78126","la-celle-saint-cloud"
"1340","Familles monoparentales","929","10,8","1 023","12,0","1 157","13,5","78126","la-celle-saint-cloud"
"1341","Ménages d'une personne","4 213","33,2","4 120","31,9","4 754","36,1","78146","chatou"
"1342","Autres ménages sans famille","220","1,7","226","1,7","191","1,4","78146","chatou"
"1343","Couples sans enfant","2 892","22,8","2 977","23,1","2 955","22,4","78146","chatou"
"1344","Couples avec enfant(s)","4 243","33,4","4 384","34,0","3 966","30,1","78146","chatou"
"1345","Familles monoparentales","1 130","8,9","1 201","9,3","1 319","10,0","78146","chatou"
"1346","Ménages d'une personne","5 736","38,9","5 978","40,6","6 375","42,8","78158","le-chesnay-rocquencourt"
"1347","Autres ménages sans famille","260","1,8","174","1,2","182","1,2","78158","le-chesnay-rocquencourt"
"1348","Couples sans enfant","3 813","25,9","3 699","25,1","3 707","24,9","78158","le-chesnay-rocquencourt"
"1349","Couples avec enfant(s)","3 797","25,8","3 687","25,1","3 584","24,1","78158","le-chesnay-rocquencourt"
"1350","Familles monoparentales","1 138","7,7","1 170","8,0","1 050","7,0","78158","le-chesnay-rocquencourt"
"1351","Ménages d'une personne","3 635","26,7","4 078","29,6","4 561","31,2","78172","conflans-sainte-honorine"
"1352","Autres ménages sans famille","377","2,8","327","2,4","177","1,2","78172","conflans-sainte-honorine"
"1353","Couples sans enfant","3 540","26,0","3 253","23,6","3 406","23,3","78172","conflans-sainte-honorine"
"1354","Couples avec enfant(s)","4 759","35,0","4 689","34,0","4 829","33,0","78172","conflans-sainte-honorine"
"1355","Familles monoparentales","1 287","9,5","1 453","10,5","1 663","11,4","78172","conflans-sainte-honorine"
"1356","Ménages d'une personne","3 116","29,7","3 225","31,2","4 050","36,0","78208","elancourt"
"1357","Autres ménages sans famille","164","1,6","258","2,5","225","2,0","78208","elancourt"
"1358","Couples sans enfant","2 302","21,9","2 299","22,2","2 207","19,6","78208","elancourt"
"1359","Couples avec enfant(s)","3 877","36,9","3 478","33,7","3 409","30,3","78208","elancourt"
"1360","Familles monoparentales","1 044","9,9","1 075","10,4","1 373","12,2","78208","elancourt"
"1361","Ménages d'une personne","2 934","27,5","3 349","30,4","4 246","35,1","78297","guyancourt"
"1362","Autres ménages sans famille","205","1,9","194","1,8","165","1,4","78297","guyancourt"
"1363","Couples sans enfant","2 084","19,5","2 060","18,7","2 199","18,2","78297","guyancourt"
"1364","Couples avec enfant(s)","3 967","37,2","3 846","34,9","3 821","31,6","78297","guyancourt"
"1365","Familles monoparentales","1 479","13,9","1 575","14,3","1 651","13,7","78297","guyancourt"
"1366","Ménages d'une personne","3 869","29,6","3 992","30,3","4 713","33,2","78311","houilles"
"1367","Autres ménages sans famille","330","2,5","334","2,5","231","1,6","78311","houilles"
"1368","Couples sans enfant","3 279","25,1","3 102","23,5","3 269","23,0","78311","houilles"
"1369","Couples avec enfant(s)","4 372","33,5","4 488","34,0","4 611","32,5","78311","houilles"
"1370","Familles monoparentales","1 200","9,2","1 269","9,6","1 376","9,7","78311","houilles"
"1371","Ménages d'une personne","3 280","33,5","3 789","36,6","4 163","39,6","78358","maisons-laffitte"
"1372","Autres ménages sans famille","175","1,8","147","1,4","79","0,8","78358","maisons-laffitte"
"1373","Couples sans enfant","2 700","27,5","2 494","24,1","2 414","23,0","78358","maisons-laffitte"
"1374","Couples avec enfant(s)","2 918","29,8","3 048","29,5","3 020","28,7","78358","maisons-laffitte"
"1375","Familles monoparentales","733","7,5","867","8,4","840","8,0","78358","maisons-laffitte"
"1376","Ménages d'une personne","5 000","32,1","5 584","33,4","6 172","36,0","78361","mantes-la-jolie"
"1377","Autres ménages sans famille","432","2,8","412","2,5","298","1,7","78361","mantes-la-jolie"
"1378","Couples sans enfant","2 882","18,5","2 850","17,1","3 076","17,9","78361","mantes-la-jolie"
"1379","Couples avec enfant(s)","5 239","33,7","5 705","34,1","4 959","28,9","78361","mantes-la-jolie"
"1380","Familles monoparentales","2 005","12,9","2 158","12,9","2 662","15,5","78361","mantes-la-jolie"
"1381","Ménages d'une personne","2 263","30,0","2 252","29,3","3 016","34,7","78362","mantes-la-ville"
"1382","Autres ménages sans famille","204","2,7","213","2,8","95","1,1","78362","mantes-la-ville"
"1383","Couples sans enfant","1 665","22,1","1 626","21,1","1 676","19,3","78362","mantes-la-ville"
"1384","Couples avec enfant(s)","2 538","33,6","2 577","33,5","2 718","31,3","78362","mantes-la-ville"
"1385","Familles monoparentales","878","11,6","1 026","13,3","1 186","13,6","78362","mantes-la-ville"
"1386","Ménages d'une personne","3 445","26,0","3 901","28,9","5 449","37,9","78423","montigny-le-bretonneux"
"1387","Autres ménages sans famille","253","1,9","231","1,7","242","1,7","78423","montigny-le-bretonneux"
"1388","Couples sans enfant","3 175","24,0","3 176","23,5","3 197","22,2","78423","montigny-le-bretonneux"
"1389","Couples avec enfant(s)","4 990","37,7","4 760","35,2","4 065","28,3","78423","montigny-le-bretonneux"
"1390","Familles monoparentales","1 377","10,4","1 454","10,8","1 420","9,9","78423","montigny-le-bretonneux"
"1391","Ménages d'une personne","2 579","24,8","2 892","26,9","3 182","27,4","78440","les-mureaux"
"1392","Autres ménages sans famille","288","2,8","275","2,6","162","1,4","78440","les-mureaux"
"1393","Couples sans enfant","2 129","20,5","1 904","17,7","2 090","18,0","78440","les-mureaux"
"1394","Couples avec enfant(s)","4 035","38,9","4 242","39,5","4 444","38,3","78440","les-mureaux"
"1395","Familles monoparentales","1 347","13,0","1 431","13,3","1 737","15,0","78440","les-mureaux"
"1396","Ménages d'une personne","3 180","27,6","3 540","29,2","4 131","32,8","78490","plaisir"
"1397","Autres ménages sans famille","260","2,3","269","2,2","187","1,5","78490","plaisir"
"1398","Couples sans enfant","2 622","22,7","2 698","22,2","2 674","21,2","78490","plaisir"
"1399","Couples avec enfant(s)","4 292","37,2","4 385","36,1","4 041","32,1","78490","plaisir"
"1400","Familles monoparentales","1 187","10,3","1 250","10,3","1 569","12,4","78490","plaisir"
"1401","Ménages d'une personne","5 795","35,7","5 780","36,3","6 543","37,6","78498","poissy"
"1402","Autres ménages sans famille","476","2,9","413","2,6","193","1,1","78498","poissy"
"1403","Couples sans enfant","3 739","23,1","3 505","22,0","3 380","19,4","78498","poissy"
"1404","Couples avec enfant(s)","4 533","28,0","4 514","28,4","4 816","27,7","78498","poissy"
"1405","Familles monoparentales","1 670","10,3","1 700","10,7","2 449","14,1","78498","poissy"
"1406","Ménages d'une personne","4 118","36,3","4 273","37,6","5 505","42,8","78517","rambouillet"
"1407","Autres ménages sans famille","178","1,6","209","1,8","148","1,1","78517","rambouillet"
"1408","Couples sans enfant","2 892","25,5","2 834","25,0","3 264","25,4","78517","rambouillet"
"1409","Couples avec enfant(s)","3 078","27,1","2 911","25,6","2 829","22,0","78517","rambouillet"
"1410","Familles monoparentales","1 082","9,5","1 127","9,9","1 104","8,6","78517","rambouillet"
"1411","Ménages d'une personne","2 080","30,2","2 544","33,9","2 991","34,1","78545","saint-cyr-l-ecole"
"1412","Autres ménages sans famille","187","2,7","197","2,6","94","1,1","78545","saint-cyr-l-ecole"
"1413","Couples sans enfant","1 608","23,3","1 600","21,3","1 896","21,6","78545","saint-cyr-l-ecole"
"1414","Couples avec enfant(s)","2 303","33,4","2 363","31,5","2 712","30,9","78545","saint-cyr-l-ecole"
"1415","Familles monoparentales","711","10,3","804","10,7","1 070","12,2","78545","saint-cyr-l-ecole"
"1416","Ménages d'une personne","6 358","34,0","6 827","36,4","8 098","40,3","78551","saint-germain-en-laye"
"1417","Autres ménages sans famille","365","2,0","416","2,2","265","1,3","78551","saint-germain-en-laye"
"1418","Couples sans enfant","4 781","25,6","4 293","22,9","4 282","21,3","78551","saint-germain-en-laye"
"1419","Couples avec enfant(s)","5 546","29,7","5 485","29,3","5 377","26,7","78551","saint-germain-en-laye"
"1420","Familles monoparentales","1 640","8,8","1 718","9,2","2 089","10,4","78551","saint-germain-en-laye"
"1421","Ménages d'une personne","5 717","28,8","6 207","30,0","7 494","34,9","78586","sartrouville"
"1422","Autres ménages sans famille","616","3,1","580","2,8","382","1,8","78586","sartrouville"
"1423","Couples sans enfant","4 586","23,1","4 705","22,7","4 786","22,3","78586","sartrouville"
"1424","Couples avec enfant(s)","6 837","34,5","7 020","33,9","6 471","30,1","78586","sartrouville"
"1425","Familles monoparentales","2 074","10,5","2 184","10,6","2 332","10,9","78586","sartrouville"
"1426","Ménages d'une personne","2 479","24,8","2 840","25,6","4 034","32,4","78621","trappes"
